longtitude,latitude,height
119.68515,33.431267,1504.19995
119.685143,33.4314,1504.09998
119.685143,33.431541,1503.80005
119.685158,33.431679,1504.30005
119.685158,33.431812,1503.90002
119.685158,33.43195,1503.59998
119.68515,33.432102,1503.09998
119.68515,33.432247,1502.5
119.685143,33.432384,1501.80005
119.685127,33.432522,1500
119.685112,33.432648,1498.80005
119.685089,33.432758,1498.30005
119.685081,33.432846,1499
119.685066,33.43293,1499.19995
119.685051,33.433002,1499.19995
119.685043,33.433079,1499.19995
119.685036,33.433147,1499.30005
119.685005,33.433273,1499
119.684998,33.433334,1499.30005
119.68499,33.433392,1498.5
119.68499,33.43343,1497.09998
119.685013,33.43346,1496.69995
119.685051,33.433487,1496.30005
119.685074,33.43351,1495.5
119.685104,33.433521,1494.59998
119.685158,33.433517,1493.5
119.685181,33.433517,1492.5
119.685219,33.433521,1492.09998
119.685242,33.433495,1489.5
119.685265,33.433498,1489.19995
119.685303,33.433498,1488.59998
119.68531,33.433475,1486.19995
119.685318,33.433464,1484.90002
119.685326,33.433456,1483.69995
119.685341,33.433437,1481.80005
119.685364,33.433434,1480.69995
119.685387,33.433445,1480.69995
119.685417,33.433453,1479.60315
119.685455,33.433445,1477.80005
119.685486,33.43343,1475.80005
119.685532,33.433418,1474.19995
119.685562,33.433426,1473.90002
119.6856,33.433422,1472.69995
119.685608,33.433403,1470.80005
119.685631,33.433388,1469.19995
119.685738,33.433392,1465.30005
119.685776,33.433426,1462.90002
119.685814,33.433449,1462.5
119.685814,33.433464,1461.19995
119.685844,33.433464,1459.19995
119.685844,33.433456,1456.59998
119.685883,33.433479,1456.19995
119.685936,33.433468,1453.80005
119.686005,33.43346,1452.09998
119.686028,33.433453,1446.69995
119.686096,33.433449,1444.40002
119.686188,33.433407,1438.40002
119.686226,33.433414,1437
119.686272,33.433392,1434.40002
119.686729,33.433334,1423.09998
119.68692,33.433331,1418.5
119.686958,33.43335,1417.19995
119.686996,33.433338,1416.90002
119.687027,33.43335,1415.40002
119.68705,33.43335,1414.30005
119.687141,33.433308,1411.90002
119.687195,33.433308,1411.5
119.687248,33.4333,1410.59998
119.687286,33.433289,1409.5
119.687332,33.433285,1408.90002
119.687408,33.43327,1407.30005
119.687439,33.433262,1406.5
119.687462,33.43327,1398.90002
119.687515,33.433266,1405
119.687538,33.433258,1403.69995
119.687614,33.433247,1401.80005
119.687683,33.433231,1400.5
119.687752,33.433224,1398.69995
119.68779,33.433228,1398.09998
119.687874,33.43322,1396.30005
119.687912,33.43322,1395.69995
119.687988,33.433224,1394.09998
119.688026,33.433228,1393.40002
119.688118,33.433247,1391.30005
119.688164,33.43325,1391
119.688232,33.43325,1389.59998
119.688263,33.433254,1388.40002
119.688339,33.433285,1386.69995
119.688362,33.433285,1386.30005
119.688393,33.433285,1385.59998
119.688461,33.433292,1384.40002
119.688515,33.433292,1383.90002
119.688545,33.4333,1382.90002
119.688576,33.4333,1382
119.688614,33.433296,1381.19995
119.688637,33.433292,1380.90002
119.688675,33.433289,1380.5
119.688713,33.433285,1379.69995
119.688744,33.433281,1379.19995
119.688797,33.43327,1378.80005
119.688828,33.433266,1377.30005
119.68885,33.433262,1376.90002
119.688881,33.433262,1375.90002
119.688904,33.433262,1375.5
119.688934,33.433262,1374.5
119.688965,33.433262,1374.30005
119.689049,33.433247,1373
119.689156,33.433239,1370.09998
119.689537,33.433262,1353.69995
119.689598,33.43325,1351.30005
119.689667,33.433254,1350.30005
119.689819,33.433281,1344
119.689865,33.433315,1339.69995
119.68988,33.43335,1337.40002
119.689888,33.433445,1303.59998
119.689804,33.433228,1291
119.689774,33.433197,1291
