ECEF_X_offset,ECEF_Y_offset,Height_original
-12379.936608746182,-5763.1315738316625,1495.5
-12415.303623592947,-5844.3004594706,1494.59998
-12348.504657536745,-5927.36555261258,1493.5
-12329.185567217413,-5967.688655055128,1492.5
-12319.740227172617,-6043.759802736342,1492.09998
-12157.017693066504,-6017.080656778067,1489.5
-12154.4529255433,-6064.703011726029,1489.19995
-12122.958009307273,-6130.442890741862,1488.59998
-11989.943607714958,-6084.031840493903,1486.19995
-11922.439415259752,-6069.953307593241,1484.90002
-11871.4462110335,-6063.679657529108,1483.69995
-11754.017976483796,-6041.098333233036,1481.80005
-11718.179961140733,-6073.642766258679,1480.69995
-11759.65318047395,-6142.060112298466,1480.69995
-11778.444322592113,-6215.554822254926,1479.60315
-11702.52322182618,-6261.324677026831,1477.80005
-11593.848891135305,-6276.842169769108,1475.80005
-11489.465227003675,-6325.678265208378,1474.19995
-11508.57332409406,-6398.5096743498,1473.90002
-11454.848030388821,-6454.311619554646,1472.69995
-11343.178465589415,-6419.732995201834,1470.80005
-11241.245503300335,-6421.191417585127,1469.19995
-11173.518042902462,-6618.962503842078,1465.30005
-11327.878660523798,-6775.746449530125,1462.90002
-11422.671451926231,-6901.897945949808,1462.5
-11504.472795420792,-6942.4583357078955,1461.19995
-11478.938558865339,-6995.761036752723,1459.19995
-11433.954691763502,-6976.961651359685,1456.59998
-11527.910313070752,-7104.848395009525,1456.19995
-11422.876743644942,-7169.139976304956,1453.80005
-11321.406741112005,-7268.259890856221,1452.09998
-11261.80499698408,-7294.069503430277,1446.69995
-11182.853095836006,-7402.537870992906,1444.40002
-10874.01163479546,-7455.624306983314,1438.40002
-10880.521299604326,-7540.648300864734,1437.0
-10720.768676253967,-7564.251166515984,1434.40002
-10020.660838850308,-8209.006205966696,1423.09998
-9844.52881555073,-8534.543752609752,1418.5
-9916.853656432126,-8651.163276974112,1417.19995
-9819.475858918857,-8685.466030173935,1416.90002
-9859.082939383108,-8771.794901783578,1415.40002
-9839.617378978059,-8812.44113744516,1414.30005
-9532.931860158686,-8861.246880606748,1411.90002
-9488.11451946944,-8954.840518377721,1411.5
-9400.014638387132,-9026.133232108317,1410.59998
-9307.773452731315,-9063.819107381627,1409.5
-9247.525888568722,-9133.296941050328,1408.90002
-9101.683469530195,-9226.590817546472,1407.30005
-9031.807228599675,-9259.838602507487,1406.5
-9053.538650630508,-9327.143154767342,1398.90002
-8990.236586635467,-9403.007615016773,1405.0
-8926.769826642238,-9422.872932512313,1403.69995
-8802.717158892658,-9527.023756981827,1401.80005
-8657.26362822624,-9605.45084476471,1400.5
-8560.97230651835,-9707.975947401486,1398.69995
-8551.193893471733,-9784.74580177851,1398.09998
-8436.970200677402,-9910.646447979845,1396.30005
-8405.23478607228,-9976.935611704364,1395.69995
-8363.531884420197,-10120.386694584042,1394.09998
-8353.687257146463,-10197.29061940033,1393.40002
-8380.771358294412,-10408.326103223488,1391.30005
-8358.955033298582,-10496.144610614516,1391.0
-8301.973405552562,-10615.159079679288,1389.59998
-8297.702836697455,-10680.412075237371,1388.40002
-8403.982117542066,-10895.003253886476,1386.69995
-8384.728664900642,-10935.213294227608,1386.30005
-8358.70988206612,-10989.552447151393,1385.59998
-8340.160364257637,-11126.862166207284,1384.40002
-8295.117190061603,-11220.931283934973,1383.90002
-8313.670865183696,-11294.82995130308,1382.90002
-8287.55417217128,-11349.3714852212,1382.0
-8233.722938347142,-11405.470371172763,1381.19995
-8192.555208249018,-11435.123896105215,1380.90002
-8144.367988367099,-11493.518400003202,1380.5
-8090.528243936598,-11549.638717842288,1379.69995
-8042.625563621521,-11593.360963720828,1379.19995
-7938.087577031925,-11656.806347394362,1378.80005
-7889.767851086333,-11701.403211697936,1377.30005
-7849.379687258508,-11729.435489689,1376.90002
-7823.199264395982,-11784.1154498104,1375.90002
-7803.914150707889,-11824.393991257995,1375.5
-7778.560800007079,-11877.346543344669,1374.5
-7752.702783050016,-11931.353132291697,1374.30005
-7600.051316933706,-12038.986731279641,1373.0
-7465.9795598378405,-12206.382245488465,1370.09998
-7268.173148485366,-12943.333008801565,1353.69995
-7150.571210820228,-13020.031076275744,1351.30005
-7114.598115666304,-13151.474060698412,1350.30005
-7133.339793661144,-13492.386226333678,1344.0
-7279.6171895600855,-13665.444157307036,1339.69995
