ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000072,0.000095,-0.000100
6378137.000209,0.000275,-0.000300
6378137.000403,0.000531,-0.000600
6378137.000650,0.000857,-0.001000
6378137.000945,0.001245,-0.001500
6378137.001281,0.001689,-0.002100
6378137.001655,0.002183,-0.002800
6378137.002063,0.002724,-0.003600
6378137.002502,0.003305,-0.004500
6378137.002968,0.003923,-0.005500
6378137.003458,0.004575,-0.006600
6378137.003971,0.005257,-0.007800
6378137.004503,0.005967,-0.009100
6378137.005052,0.006701,-0.010500
6378137.005617,0.007457,-0.012000
6378137.006195,0.008234,-0.013600
6378137.006786,0.009029,-0.015300
6378137.007388,0.009841,-0.017099
6378137.008000,0.010668,-0.018999
6378137.008619,0.011508,-0.020999
6378137.009247,0.012362,-0.023099
6378137.009881,0.013226,-0.025299
6378137.010520,0.014101,-0.027599
6378137.011165,0.014985,-0.029999
6378137.011813,0.015878,-0.032499
6378137.012466,0.016779,-0.035098
6378137.013121,0.017688,-0.037798
6378137.013779,0.018603,-0.040598
6378137.014439,0.019525,-0.043498
6378137.015100,0.020452,-0.046497
6378137.015763,0.021385,-0.049597
6378137.016426,0.022323,-0.052797
6378137.017090,0.023265,-0.056097
6378137.017754,0.024212,-0.059496
6378137.018418,0.025163,-0.062996
6378137.019082,0.026118,-0.066596
6378137.019746,0.027077,-0.070295
6378137.020408,0.028040,-0.074095
6378137.021070,0.029005,-0.077994
6378137.021731,0.029974,-0.081994
6378137.022390,0.030947,-0.086093
6378137.023048,0.031922,-0.090293
6378137.023704,0.032900,-0.094592
6378137.024359,0.033881,-0.098992
6378137.025012,0.034865,-0.103491
6378137.025663,0.035851,-0.108090
6378137.026312,0.036840,-0.112790
6378137.026959,0.037832,-0.117589
6378137.027604,0.038827,-0.122488
6378137.028246,0.039824,-0.127488
6378137.028886,0.040823,-0.132587
6378137.029523,0.041825,-0.137786
6378137.030158,0.042829,-0.143085
6378137.030791,0.043836,-0.148484
6378137.031421,0.044846,-0.153983
6378137.032048,0.045857,-0.159582
6378137.032672,0.046872,-0.165281
6378137.033293,0.047889,-0.171080
6378137.033912,0.048908,-0.176979
