ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.071473,0.181116,-0.495053,0.025419,0.225158,-0.998742
6378137.007601,0.435055,-1.977166,-0.152420,0.280256,-1.872497
6378136.819575,0.722735,-3.845192,-0.218576,0.293555,-1.863886
6378136.579881,1.019814,-5.705885,-0.257792,0.299929,-1.857850
6378136.309597,1.321525,-7.561657,-0.280985,0.303178,-1.853956
6378136.021228,1.625652,-9.414319,-0.294692,0.304918,-1.851541
6378135.722174,1.931094,-11.265072,-0.302791,0.305884,-1.850074
6378135.416805,2.237274,-13.114672,-0.307575,0.306432,-1.849194
6378135.107707,2.543877,-14.963584,-0.310402,0.306749,-1.848669
6378134.796406,2.850725,-16.812085,-0.312072,0.306933,-1.848357
6378134.483803,3.157716,-18.660343,-0.313058,0.307041,-1.848172
6378134.170430,3.464791,-20.508456,-0.313641,0.307104,-1.848063
6378133.856603,3.771916,-22.356485,-0.313986,0.307142,-1.847998
6378133.542508,4.079069,-24.204462,-0.314189,0.307164,-1.847960
6378133.228254,4.386240,-26.052411,-0.314309,0.307177,-1.847938
6378132.860716,4.720889,-27.850853,-0.454330,0.380587,-1.712545
6378132.330946,5.145767,-29.473121,-0.597696,0.467742,-1.532490
6378131.682963,5.651445,-30.924938,-0.691876,0.542462,-1.374564
6378130.960442,6.226253,-32.235820,-0.748692,0.605847,-1.252996
6378130.193453,6.858251,-33.447270,-0.783310,0.656179,-1.177294
6378129.395950,7.532347,-34.607545,-0.812494,0.688879,-1.151264
6378128.565112,8.227587,-35.765643,-0.852700,0.696865,-1.172479
6378127.682616,8.914995,-36.965014,-0.918154,0.671323,-1.232245
6378126.717735,9.556377,-38.237500,-1.019130,0.602829,-1.316106
6378125.632009,10.104365,-39.598032,-1.160572,0.482719,-1.404863
6378123.956799,10.541326,-41.129104,-2.324409,0.356178,-1.584665
6378121.291077,10.906059,-42.510546,-2.792790,0.338315,-1.300037
6378118.489040,11.208947,-43.799210,-2.809580,0.272205,-1.279217
6378115.674672,11.459617,-45.072229,-2.818335,0.232109,-1.267810
6378112.853747,11.678794,-46.336556,-2.823096,0.208060,-1.261378
6378110.029206,11.879141,-47.595937,-2.825763,0.193726,-1.257683
6378107.202619,12.068285,-48.852462,-2.827287,0.185214,-1.255537
6378104.374854,12.250783,-50.107322,-2.828170,0.180170,-1.254282
6378101.546406,12.429345,-51.361207,-2.828686,0.177185,-1.253545
6378098.717558,12.605579,-52.614518,-2.828988,0.175419,-1.253111
6378095.888474,12.780436,-53.867491,-2.829166,0.174376,-1.252855
6378093.059252,12.954480,-55.120265,-2.829270,0.173759,-1.252704
6378090.229948,13.128042,-56.372922,-2.829332,0.173394,-1.252615
6378087.400597,13.301321,-57.625509,-2.829369,0.173179,-1.252563
6378084.571216,13.474431,-58.878055,-2.829390,0.173052,-1.252532
6378081.745051,13.641696,-60.137478,-2.808758,0.135067,-1.296846
6378078.975058,13.689724,-61.517224,-2.725965,-0.059011,-1.470053
6378076.303839,13.489935,-63.081496,-2.607723,-0.361515,-1.660472
6378073.777130,12.936011,-64.830701,-2.432455,-0.766207,-1.833925
6378071.463714,11.934328,-66.730619,-2.176464,-1.253365,-1.955722
6378069.455048,10.418104,-68.713400,-1.819016,-1.788961,-1.993890
6378067.859674,8.361097,-70.681921,-1.347604,-2.326274,-1.922421
6378066.792600,5.788586,-72.517158,-0.762618,-2.809702,-1.724016
6378066.360642,2.783567,-74.087960,-0.080607,-3.180451,-1.392081
6378066.645479,-0.513401,-75.262364,0.664537,-3.383439,-0.931802
6378067.613613,-3.871373,-76.035630,0.973370,-3.158021,-0.964059
6378068.243415,-7.093060,-77.306059,0.279684,-3.342180,-1.571136
6378068.181586,-10.557993,-79.185073,-0.410038,-3.590959,-2.197894
6378067.772165,-14.155116,-81.402392,-0.393539,-3.597159,-2.220700
6378067.389826,-17.752223,-83.625125,-0.372742,-3.597062,-2.224443
6378067.023707,-21.349255,-85.850713,-0.360446,-3.597007,-2.226557
6378066.667176,-24.946245,-88.077927,-0.353178,-3.596975,-2.227773
6378066.316311,-28.543210,-90.306081,-0.348883,-3.596957,-2.228479
6378065.968795,-32.140161,-92.534783,-0.346346,-3.596946,-2.228893
6378065.623257,-35.737104,-94.763807,-0.344846,-3.596940,-2.229135
6378065.278887,-39.334041,-96.993019,-0.343961,-3.596936,-2.229278
6378064.935209,-42.930976,-99.222343,-0.343437,-3.596934,-2.229362
6378064.591938,-46.527909,-101.451732,-0.343128,-3.596932,-2.229412
6378064.248908,-50.124841,-103.681160,-0.342945,-3.596932,-2.229442
6378064.075768,-53.869409,-105.686574,0.083180,-3.939083,-1.665936
6378064.437727,-57.942967,-106.976100,0.650882,-4.174099,-0.893415
6378065.372884,-62.141152,-107.462941,1.221606,-4.183933,-0.065635
6378066.860148,-66.234899,-107.109106,1.746426,-3.963341,0.781988
6378068.829592,-69.997619,-105.913308,2.177330,-3.522707,1.611730
6378071.165514,-73.220710,-103.912368,2.471545,-2.887588,2.385414
6378073.713712,-75.727957,-101.180709,2.595559,-2.096930,3.066352
6378076.292477,-77.387536,-97.827914,2.528474,-1.200082,3.621258
6378078.706442,-78.120523,-93.994423,2.264316,-0.252846,4.022043
6378080.762148,-77.905135,-89.845534,1.813083,0.687074,4.247378
6378082.484784,-77.056582,-85.188949,1.780437,0.818212,5.000973
6378084.406651,-76.344502,-79.882129,2.050795,0.634164,5.578495
6378086.406329,-75.578786,-74.302096,1.953373,0.877436,5.580499
6378088.325039,-74.625401,-68.722209,1.888163,1.018056,5.579062
6378090.191200,-73.563164,-63.144045,1.847022,1.099935,5.577291
6378092.024700,-72.437382,-57.567471,1.821816,1.147868,5.575923
6378093.838346,-71.274336,-51.992037,1.806613,1.176027,5.575001
6378095.640069,-70.089375,-46.417348,1.797523,1.192607,5.574417
6378097.434682,-68.891501,-40.843124,1.792116,1.202382,5.574058
6378099.225070,-67.686012,-35.269182,1.788908,1.208150,5.573842
6378101.012955,-66.476027,-29.695410,1.787008,1.211555,5.573712
6378102.799358,-65.263389,-24.121739,1.785884,1.213566,5.573635
6378104.584884,-64.049183,-18.548129,1.785219,1.214754,5.573589
6378106.369891,-62.834051,-12.974555,1.784827,1.215455,5.573562
6378108.154593,-61.618373,-7.401002,1.784594,1.215870,5.573546
6378109.877416,-60.299458,-1.817954,1.511037,1.649724,5.610362
6378111.021210,-58.227848,3.804095,0.727882,2.470487,5.616718
6378111.270061,-55.438769,9.381048,-0.270942,3.072484,5.518486
6378110.440300,-52.177341,14.806811,-1.418677,3.405821,5.313013
6378108.420584,-48.728592,19.973772,-2.638132,3.441054,4.999938
6378105.179549,-45.396087,24.775100,-3.847543,3.170974,4.581204
6378100.767246,-42.479417,29.107036,-4.966913,2.610845,4.061032
6378095.310312,-40.252342,32.871144,-5.924121,1.796880,3.445845
6378089.001338,-38.943286,35.976448,-6.660328,0.783068,2.744137
6378082.083374,-38.719695,38.341419,-7.134229,-0.363346,1.966297
6378074.808453,-39.466225,40.068895,-7.452189,-0.839870,1.842813
6378067.128899,-40.307315,42.256735,-7.915454,-0.831413,2.552506
