gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378127.240922,-3.351010,5.037340,-0.002300,0.045817,0.043699
6378140.387074,-3.542724,-15.939016,0.087835,0.199148,-0.978505
6378140.373375,-2.972225,0.986336,-0.018622,0.319671,-1.848675
6378129.010728,8.130410,2.441173,0.101610,0.341840,-1.766492
6378139.082923,-1.856584,3.798686,0.059462,0.375418,-1.910930
6378132.100896,-1.019352,-9.059155,0.066206,0.363308,-1.846230
6378146.374741,3.229003,-8.571656,0.014467,0.349176,-1.820928
6378141.363615,-4.461165,-6.097712,0.109228,0.394252,-1.873045
6378138.786402,7.058337,-19.667500,0.031959,0.321968,-1.874632
6378127.568828,7.158567,-32.191108,0.030852,0.320752,-1.915912
6378137.855766,5.335905,-22.920733,-0.053495,0.417860,-1.865824
6378136.594757,-4.995631,-16.410624,0.146810,0.394495,-1.986710
6378138.460485,2.056494,-14.914471,-0.069153,0.302382,-1.837868
6378138.779334,3.166195,-27.931215,0.047917,0.402154,-1.934440
6378137.669292,7.293190,-10.421051,-0.000413,0.449637,-1.882646
6378139.266272,9.670169,-26.757389,-0.065336,0.461773,-1.825913
6378131.305172,0.471926,-18.631928,-0.413312,0.773804,-1.679803
6378136.026361,11.815303,-31.526004,-0.618840,0.934706,-1.318706
6378138.920987,5.700081,-34.382001,-0.638687,1.087468,-0.949523
6378137.998124,15.494389,-38.685408,-0.741745,1.223404,-0.797268
6378132.547802,3.000653,-32.310231,-0.800368,1.284534,-0.584744
6378142.470586,7.783046,-24.542609,-0.610336,1.419185,-0.397027
6378143.506835,12.249961,-18.910445,-0.518038,1.378174,-0.365978
6378125.643605,13.160326,-46.440786,-0.262421,1.417571,-0.305748
6378135.794077,15.685405,-30.956588,-0.087745,1.422304,-0.409508
6378134.939928,21.774984,-22.682941,-0.258805,1.834247,-0.901464
6378134.813237,18.980786,-36.815275,-0.658606,2.752294,-0.972039
6378137.624851,16.007419,-41.186392,-0.528536,2.768326,-1.025673
6378131.479981,28.569620,-40.693865,-0.615529,2.671780,-0.982069
6378135.664200,27.312235,-26.932063,-0.634346,2.750275,-0.985029
6378130.027112,36.709991,-32.549731,-0.636593,2.712452,-1.066489
6378133.829663,30.864632,-36.500602,-0.571985,2.614827,-1.058083
6378124.745205,46.320513,-39.799194,-0.587540,2.755274,-1.135445
6378123.972781,31.857989,-47.736809,-0.635628,2.616658,-0.998236
6378127.481002,43.350539,-34.251529,-0.604378,2.597430,-1.098989
6378123.278746,42.495663,-43.372611,-0.642937,2.609170,-1.031084
6378126.503957,41.394404,-37.917336,-0.678633,2.745226,-1.047864
6378129.895776,49.660702,-49.434305,-0.578372,2.664555,-1.042131
6378126.606735,45.791043,-43.468660,-0.629666,2.693864,-1.158437
6378121.686095,54.370060,-45.012200,-0.581896,2.666606,-1.078737
