ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.652757,0.000000,-16.617507
27.653357,-0.002089,-16.616508
27.654498,-0.006142,-16.614609
27.656123,-0.012042,-16.611900
27.658183,-0.019685,-16.608463
27.660633,-0.028978,-16.604368
27.663432,-0.039834,-16.599683
27.666542,-0.052139,-16.594465
27.669930,-0.065743,-16.588767
27.673565,-0.080505,-16.582636
27.677420,-0.096301,-16.576116
27.681471,-0.113018,-16.569246
27.685693,-0.130555,-16.562060
27.690068,-0.148818,-16.554591
27.694577,-0.167724,-16.546867
27.699202,-0.187198,-16.538913
27.703930,-0.207171,-16.530755
27.708746,-0.227582,-16.522412
27.713639,-0.248376,-16.513904
27.718597,-0.269501,-16.505249
27.723611,-0.290913,-16.496463
27.728671,-0.312571,-16.487560
27.733769,-0.334437,-16.478553
27.738899,-0.356479,-16.469455
27.744053,-0.378666,-16.460275
27.749226,-0.400971,-16.451024
27.754412,-0.423370,-16.441711
27.759607,-0.445841,-16.432344
27.764807,-0.468364,-16.422930
27.770007,-0.490920,-16.413477
27.775205,-0.513495,-16.403989
27.780396,-0.536073,-16.394473
27.785579,-0.558642,-16.384933
27.790751,-0.581189,-16.375375
27.795909,-0.603705,-16.365802
27.801052,-0.626180,-16.356219
27.806179,-0.648605,-16.346628
27.811286,-0.670974,-16.337034
27.816374,-0.693278,-16.327438
27.821440,-0.715513,-16.317843
27.826484,-0.737673,-16.308253
27.831505,-0.759753,-16.298669
27.836502,-0.781748,-16.289092
27.841474,-0.803656,-16.279526
27.846421,-0.825472,-16.269971
27.851341,-0.847194,-16.260429
27.856235,-0.868820,-16.250902
27.861103,-0.890346,-16.241390
27.865943,-0.911771,-16.231895
27.870755,-0.933093,-16.222419
27.875540,-0.954311,-16.212961
27.880296,-0.975424,-16.203523
27.885025,-0.996430,-16.194105
27.889725,-1.017328,-16.184709
27.894397,-1.038118,-16.175335
27.899040,-1.058799,-16.165984
27.903655,-1.079370,-16.156655
27.908241,-1.099832,-16.147351
27.912799,-1.120183,-16.138071
27.917329,-1.140424,-16.128816
27.921830,-1.160555,-16.119585
27.926303,-1.180576,-16.110380
27.930748,-1.200486,-16.101201
27.935164,-1.220286,-16.092048
27.939552,-1.239975,-16.082922
27.943913,-1.259555,-16.073822
27.948246,-1.279025,-16.064750
27.952550,-1.298386,-16.055704
27.956828,-1.317638,-16.046686
27.961078,-1.336781,-16.037695
27.965300,-1.355815,-16.028732
27.969496,-1.374742,-16.019797
27.973664,-1.393561,-16.010890
27.977806,-1.412274,-16.002012
27.981921,-1.430879,-15.993161
27.986009,-1.449379,-15.984339
27.990071,-1.467773,-15.975546
27.994107,-1.486061,-15.966781
27.998117,-1.504245,-15.958045
28.002101,-1.522326,-15.949338
28.006059,-1.540302,-15.940660
28.009992,-1.558176,-15.932011
28.013899,-1.575947,-15.923391
28.017781,-1.593616,-15.914800
28.021638,-1.611183,-15.906238
28.025470,-1.628650,-15.897705
28.029278,-1.646017,-15.889202
28.033061,-1.663284,-15.880727
28.036819,-1.680452,-15.872283
28.040554,-1.697521,-15.863867
28.044264,-1.714492,-15.855481
28.047951,-1.731366,-15.847124
28.051613,-1.748142,-15.838797
28.055253,-1.764823,-15.830499
28.058869,-1.781407,-15.822231
28.062461,-1.797897,-15.813992
28.066031,-1.814292,-15.805783
28.069578,-1.830592,-15.797603
28.073102,-1.846799,-15.789452
28.076603,-1.862913,-15.781332
28.080082,-1.878935,-15.773240
28.083539,-1.894864,-15.765178
28.086974,-1.910702,-15.757146
28.090386,-1.926450,-15.749143
28.093777,-1.942107,-15.741169
28.097147,-1.957674,-15.733225
28.100495,-1.973152,-15.725310
28.103821,-1.988542,-15.717425
28.107127,-2.003843,-15.709569
28.110411,-2.019056,-15.701742
28.113675,-2.034183,-15.693945
28.116917,-2.049223,-15.686177
28.120139,-2.064176,-15.678439
28.123341,-2.079045,-15.670730
28.126523,-2.093828,-15.663050
28.129684,-2.108526,-15.655399
28.132825,-2.123141,-15.647777
28.135946,-2.137672,-15.640185
28.139048,-2.152120,-15.632622
28.142130,-2.166485,-15.625088
28.145193,-2.180769,-15.617583
28.148236,-2.194971,-15.610107
28.151260,-2.209091,-15.602660
28.154265,-2.223132,-15.595242
28.157251,-2.237092,-15.587852
28.160218,-2.250972,-15.580492
28.163167,-2.264774,-15.573161
28.166097,-2.278496,-15.565858
28.169009,-2.292141,-15.558584
28.171902,-2.305708,-15.551339
28.174778,-2.319197,-15.544122
28.177635,-2.332610,-15.536935
28.180474,-2.345946,-15.529775
28.183296,-2.359207,-15.522644
28.186100,-2.372392,-15.515542
28.188886,-2.385502,-15.508468
28.191655,-2.398537,-15.501422
28.194407,-2.411499,-15.494405
28.197142,-2.424387,-15.487416
28.199859,-2.437201,-15.480455
28.202560,-2.449943,-15.473523
28.205244,-2.462613,-15.466618
28.207911,-2.475210,-15.459742
28.210561,-2.487737,-15.452893
28.213195,-2.500192,-15.446072
28.215813,-2.512576,-15.439280
28.218415,-2.524890,-15.432515
28.221000,-2.537135,-15.425778
28.223569,-2.549310,-15.419068
28.226123,-2.561416,-15.412386
28.228660,-2.573454,-15.405732
28.231182,-2.585423,-15.399105
28.233689,-2.597325,-15.392506
28.236180,-2.609160,-15.385934
28.238655,-2.620927,-15.379389
28.241115,-2.632628,-15.372872
28.243560,-2.644263,-15.366381
28.245990,-2.655832,-15.359918
28.248405,-2.667336,-15.353482
28.250806,-2.678774,-15.347073
28.253191,-2.690149,-15.340691
28.255562,-2.701459,-15.334336
28.257918,-2.712705,-15.328007
28.260260,-2.723887,-15.321706
28.262587,-2.735007,-15.315430
28.264900,-2.746064,-15.309182
28.267199,-2.757059,-15.302960
28.269484,-2.767991,-15.296764
28.271755,-2.778862,-15.290595
28.274012,-2.789672,-15.284452
28.276256,-2.800421,-15.278335
28.278485,-2.811110,-15.272245
28.280701,-2.821738,-15.266180
28.282903,-2.832307,-15.260142
28.285092,-2.842816,-15.254129
28.287268,-2.853266,-15.248142
28.289431,-2.863657,-15.242181
28.291580,-2.873990,-15.236246
28.293716,-2.884265,-15.230337
28.295839,-2.894482,-15.224453
28.297950,-2.904642,-15.218594
28.300047,-2.914745,-15.212761
28.302132,-2.924791,-15.206953
28.304204,-2.934781,-15.201171
28.306264,-2.944714,-15.195414
28.308311,-2.954592,-15.189682
28.310346,-2.964415,-15.183974
28.312368,-2.974182,-15.178292
28.314378,-2.983895,-15.172635
28.316377,-2.993554,-15.167003
28.318363,-3.003158,-15.161395
28.320337,-3.012709,-15.155812
28.322299,-3.022206,-15.150253
28.324249,-3.031650,-15.144719
28.326188,-3.041041,-15.139210
28.328115,-3.050380,-15.133725
