accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.004510,0.737522,-10.779694
0.940133,0.660614,-10.776508
0.833005,0.596873,-10.782651
0.745712,0.547093,-10.785400
0.688809,0.469426,-10.777104
0.610520,0.426972,-10.789413
0.561547,0.381885,-10.780950
0.504258,0.342359,-10.776419
0.443468,0.296849,-10.794552
0.412433,0.280933,-10.779304
0.380913,0.239239,-10.786086
0.336606,0.207871,-10.792452
0.316115,0.187810,-10.790436
0.302955,0.150886,-10.779753
0.266242,0.137890,-10.780907
0.257078,0.113176,-10.778400
0.248540,0.110694,-10.778624
0.221947,0.079908,-10.784717
0.202487,0.074416,-10.786027
0.205020,0.053069,-10.783189
0.188657,0.041559,-10.783983
0.187002,0.027869,-10.776378
0.165903,0.009886,-10.786565
0.172670,0.000089,-10.783513
0.162462,-0.004765,-10.784831
0.167592,-0.028159,-10.784346
0.165469,-0.031456,-10.776982
0.158127,-0.039266,-10.786608
0.154087,-0.056839,-10.787826
0.158836,-0.054418,-10.775222
0.158737,-0.075859,-10.773888
0.167566,-0.076426,-10.778809
0.163079,-0.080861,-10.785871
0.165457,-0.090999,-10.783666
0.167066,-0.090313,-10.782326
0.167833,-0.106785,-10.778965
0.177038,-0.108150,-10.779763
0.179858,-0.112628,-10.778656
0.186722,-0.119536,-10.775356
0.191413,-0.131173,-10.777361
0.188233,-0.132301,-10.780799
0.192886,-0.140781,-10.788253
0.201781,-0.147264,-10.774884
0.204355,-0.145303,-10.787204
0.226227,-0.157797,-10.771579
0.225035,-0.167291,-10.778528
0.229106,-0.166848,-10.779134
0.227325,-0.174438,-10.767837
0.226017,-0.179211,-10.772384
0.226925,-0.184068,-10.775455
0.230383,-0.191141,-10.771402
0.250251,-0.194420,-10.779228
0.250679,-0.198485,-10.774378
0.262359,-0.208898,-10.782578
0.260066,-0.204734,-10.775338
0.263336,-0.225052,-10.776957
0.280818,-0.218924,-10.776857
0.279247,-0.226586,-10.777210
0.276497,-0.234254,-10.777809
0.285780,-0.245617,-10.782674
0.297778,-0.236837,-10.772028
0.292002,-0.241537,-10.777394
0.305910,-0.241417,-10.770210
0.311250,-0.253101,-10.777450
0.315171,-0.256495,-10.779350
0.320052,-0.271431,-10.769858
0.317693,-0.259113,-10.769953
0.328055,-0.271824,-10.779934
0.331056,-0.275298,-10.773518
0.332177,-0.279794,-10.773659
0.334606,-0.285611,-10.769010
0.346319,-0.280257,-10.768342
0.356644,-0.290672,-10.774783
0.356353,-0.299129,-10.763595
0.355101,-0.302000,-10.767779
0.378025,-0.298523,-10.757581
0.369209,-0.313035,-10.777027
0.379446,-0.315779,-10.770591
0.386476,-0.329693,-10.766289
0.386508,-0.334573,-10.765164
0.388352,-0.331063,-10.767251
0.393119,-0.332916,-10.759499
0.397132,-0.334669,-10.758773
0.405639,-0.337232,-10.763546
0.405732,-0.344050,-10.772345
0.422183,-0.347931,-10.771991
0.425882,-0.359402,-10.760149
0.432052,-0.363048,-10.759048
0.434790,-0.349216,-10.753454
0.443854,-0.358819,-10.756907
0.434931,-0.362137,-10.763532
0.439328,-0.372201,-10.768481
0.446632,-0.378102,-10.760918
0.449004,-0.387070,-10.754866
0.465999,-0.388465,-10.762753
0.464142,-0.384687,-10.756172
0.472344,-0.391648,-10.758867
0.470695,-0.393794,-10.762484
0.477480,-0.397772,-10.765601
0.483477,-0.405752,-10.759697
0.488219,-0.399972,-10.769887
0.487498,-0.406067,-10.764877
0.486213,-0.412461,-10.756303
0.506814,-0.417382,-10.761944
0.500980,-0.423602,-10.762212
0.514591,-0.422755,-10.762577
0.521955,-0.427594,-10.753858
0.515236,-0.430271,-10.750630
0.526211,-0.440417,-10.747262
0.534261,-0.439819,-10.748749
0.530854,-0.448649,-10.759928
0.542073,-0.445590,-10.747778
0.538432,-0.450584,-10.744969
0.541787,-0.456287,-10.750749
0.552371,-0.453048,-10.746787
0.548855,-0.453133,-10.755343
0.556498,-0.461485,-10.746890
0.564379,-0.461284,-10.743492
0.568799,-0.473750,-10.749695
0.570677,-0.478001,-10.749512
0.569472,-0.471141,-10.739987
0.575835,-0.484593,-10.742045
0.575781,-0.479422,-10.743868
0.587120,-0.488945,-10.749421
0.583446,-0.495615,-10.752315
0.592547,-0.494926,-10.750181
0.591919,-0.493236,-10.744416
0.605463,-0.497912,-10.742249
0.603916,-0.501705,-10.741539
0.601868,-0.519012,-10.744493
0.614622,-0.509867,-10.738270
0.608384,-0.512051,-10.738727
0.625919,-0.516991,-10.750399
0.622197,-0.511011,-10.744782
0.625609,-0.519583,-10.737927
0.631669,-0.526247,-10.743796
0.633704,-0.518988,-10.734412
0.638866,-0.529029,-10.735506
0.644292,-0.531013,-10.738016
0.650066,-0.540686,-10.743184
0.644007,-0.544028,-10.735142
0.647143,-0.546047,-10.743367
0.665015,-0.554095,-10.737200
0.662266,-0.554948,-10.729439
0.663863,-0.562729,-10.737967
0.680088,-0.557353,-10.733867
0.666205,-0.547297,-10.737561
0.682237,-0.562027,-10.736104
0.691538,-0.564239,-10.729881
0.684622,-0.564673,-10.734301
0.689086,-0.570680,-10.732441
0.695090,-0.578901,-10.734334
0.699944,-0.573424,-10.738730
0.699020,-0.578183,-10.740632
0.701985,-0.582590,-10.740642
0.721283,-0.583652,-10.733395
0.704776,-0.593160,-10.729205
0.704972,-0.594891,-10.729181
0.719301,-0.587150,-10.736128
0.723734,-0.603341,-10.736873
0.727783,-0.608119,-10.726100
0.739174,-0.604401,-10.724623
0.732265,-0.603041,-10.740592
0.725952,-0.608311,-10.730560
0.732591,-0.605274,-10.728691
0.737118,-0.618530,-10.726317
0.745126,-0.616119,-10.737529
0.750441,-0.620502,-10.713395
0.736610,-0.626239,-10.720783
0.747225,-0.630413,-10.727150
0.753491,-0.628040,-10.720653
0.755073,-0.637968,-10.726902
0.762796,-0.636395,-10.721428
0.772038,-0.639175,-10.731630
0.769478,-0.639831,-10.718186
0.779901,-0.643184,-10.723697
0.768725,-0.641467,-10.722033
0.783579,-0.647339,-10.726734
0.784498,-0.648414,-10.712708
0.784657,-0.649770,-10.722943
0.788690,-0.651803,-10.723871
0.789661,-0.656091,-10.713461
0.792621,-0.667858,-10.709538
0.801158,-0.663751,-10.724305
0.804350,-0.663776,-10.720484
0.793114,-0.662949,-10.719157
0.801854,-0.664119,-10.720532
0.806602,-0.672725,-10.719447
