gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.226262,0.360542,0.164668
0.511530,0.486367,0.403518
0.610268,0.730117,0.471653
0.685949,0.936137,0.698394
0.898676,1.110929,0.751043
1.036743,1.298622,0.868924
1.129981,1.422382,0.962609
1.218238,1.609671,1.060462
1.346737,1.649140,1.079447
1.366650,1.883323,1.166409
1.592877,1.835304,1.193727
1.579335,1.954151,1.300876
1.661468,2.066294,1.259473
1.705329,2.189909,1.390290
1.811378,2.097270,1.428122
1.794597,2.212900,1.433688
1.874555,2.215188,1.453143
1.906201,2.285792,1.419386
1.949640,2.359145,1.409267
1.902067,2.305231,1.526589
1.948971,2.327512,1.516749
2.017690,2.412113,1.548514
2.003410,2.326161,1.522575
1.942884,2.400478,1.593117
1.954046,2.449473,1.593834
2.004600,2.417749,1.639583
2.046815,2.509813,1.569282
2.035730,2.478832,1.652647
2.030138,2.488393,1.626395
1.996824,2.501666,1.590361
2.005872,2.543776,1.546008
2.042434,2.515057,1.652982
2.018031,2.431613,1.549891
2.021972,2.524387,1.569191
2.083966,2.523028,1.587801
2.077029,2.492892,1.523074
2.094156,2.508838,1.577018
1.993513,2.428481,1.541091
1.979045,2.369381,1.588284
2.054339,2.482193,1.485671
1.959976,2.458266,1.569526
2.063045,2.435446,1.546984
2.052721,2.438703,1.529144
1.955532,2.469982,1.440318
2.010802,2.402423,1.536898
1.977431,2.451993,1.433875
1.882510,2.350559,1.501069
1.924905,2.286915,1.483834
1.916614,2.416723,1.442078
1.889139,2.393735,1.503376
1.925234,2.377392,1.482310
1.854922,2.310645,1.503221
1.915155,2.310448,1.451433
1.839780,2.320381,1.462691
1.853572,2.328025,1.397479
1.830145,2.288107,1.455181
1.919320,2.314474,1.356697
1.852619,2.287537,1.415263
1.866256,2.261491,1.448173
1.900780,2.215848,1.410610
1.824921,2.283729,1.307030
1.755292,2.308622,1.337345
1.779250,2.201504,1.339326
1.821994,2.200405,1.359978
1.778215,2.201069,1.422717
1.693388,2.168285,1.392057
1.787937,2.174622,1.381678
1.836478,2.217795,1.328179
1.759191,2.125671,1.348210
1.690532,2.172839,1.325024
1.672022,2.105989,1.290790
1.762933,2.155445,1.338307
1.700868,2.120783,1.259790
1.663021,2.119261,1.257769
1.740834,2.045461,1.284240
1.655492,2.057090,1.304420
1.573862,2.103110,1.337851
1.652350,2.071253,1.310709
1.727992,2.008296,1.263214
1.685042,2.035729,1.256674
1.654404,2.009844,1.265584
1.601191,1.994946,1.241603
1.612218,2.154554,1.217483
1.669034,2.046696,1.288217
1.670148,1.984747,1.157334
1.582116,2.028069,1.224013
1.577813,2.064449,1.165538
1.573010,1.915025,1.198559
1.601716,1.918000,1.218191
1.612861,1.943858,1.228726
1.563249,1.938363,1.138654
1.596375,1.912398,1.149706
1.513997,1.895699,1.112307
1.599510,1.936035,1.199398
1.584741,1.902338,1.195867
1.476640,1.879315,1.148894
1.464594,1.911277,1.083896
1.472882,1.909469,1.092113
1.480419,1.830951,1.143409
1.421798,1.839297,1.054463
1.450393,1.823578,1.103350
1.504038,1.867680,1.061977
1.433059,1.877443,1.138287
1.464629,1.870989,1.086812
1.445142,1.852183,1.081003
1.415240,1.749985,1.118453
1.459016,1.788955,1.079502
1.443909,1.782166,1.069576
1.389175,1.792170,1.062716
1.451941,1.741716,1.049829
1.468835,1.756403,1.091559
1.350573,1.686194,1.076998
