mag_x (uT),mag_y (uT),mag_z (uT)
27.660376,-0.014889,-16.598086
27.629334,0.002514,-16.627018
27.660779,-0.013815,-16.632599
27.661191,-0.012400,-16.622596
27.641380,0.001662,-16.623049
27.658259,-0.003060,-16.615974
27.659699,-0.010124,-16.606357
27.678355,-0.023685,-16.619873
27.649263,-0.030926,-16.622502
27.651932,-0.028329,-16.588291
27.663703,-0.052181,-16.607714
27.663745,-0.047241,-16.603001
27.659648,-0.063050,-16.611487
27.663530,-0.052706,-16.602661
27.676508,-0.067077,-16.589861
27.679761,-0.067711,-16.579552
27.690469,-0.088887,-16.586440
27.685778,-0.111725,-16.594244
27.667410,-0.105469,-16.593748
27.672826,-0.111026,-16.574643
27.676543,-0.132472,-16.571099
27.687568,-0.111071,-16.576426
27.685951,-0.149058,-16.571897
27.680801,-0.171612,-16.564392
27.681968,-0.163781,-16.564008
27.707271,-0.185973,-16.542940
27.706791,-0.185066,-16.561862
27.689661,-0.192225,-16.570649
27.674974,-0.193981,-16.557582
27.706938,-0.202289,-16.541117
27.715536,-0.223904,-16.538922
27.701830,-0.216183,-16.538186
27.688010,-0.233892,-16.523926
27.700798,-0.242655,-16.512947
27.701040,-0.265908,-16.521082
27.702439,-0.288243,-16.517608
27.704536,-0.291346,-16.520452
27.717122,-0.275847,-16.512104
27.717046,-0.308445,-16.502008
27.728909,-0.329685,-16.492118
27.718102,-0.320518,-16.496182
27.742068,-0.330939,-16.502592
27.731729,-0.338746,-16.482166
27.720097,-0.370387,-16.498878
27.709624,-0.345119,-16.475592
27.734684,-0.376072,-16.477314
27.740783,-0.390893,-16.483937
27.733921,-0.392362,-16.462954
27.728039,-0.398327,-16.461662
27.736079,-0.406742,-16.466289
27.739238,-0.425787,-16.459446
27.735928,-0.404662,-16.469983
27.751980,-0.443025,-16.455101
27.734362,-0.442517,-16.447445
27.749975,-0.431320,-16.459650
27.732458,-0.477682,-16.474098
27.756205,-0.476830,-16.443207
27.749948,-0.493349,-16.450376
27.757152,-0.485102,-16.447716
27.758372,-0.484100,-16.430154
27.763394,-0.494219,-16.432333
27.751639,-0.540539,-16.436712
27.756825,-0.520594,-16.442794
27.760868,-0.535495,-16.433460
27.758593,-0.548922,-16.414883
27.786143,-0.541305,-16.425662
27.762792,-0.552271,-16.409761
27.769348,-0.572040,-16.419439
27.757617,-0.568510,-16.424430
27.773991,-0.584705,-16.397885
27.775190,-0.598381,-16.400127
27.776729,-0.599534,-16.399025
27.774895,-0.603629,-16.371765
27.794427,-0.616215,-16.385845
27.774362,-0.600404,-16.363191
27.793370,-0.621654,-16.383989
27.781198,-0.640924,-16.396152
27.778205,-0.640732,-16.367378
27.797715,-0.637126,-16.368454
27.804263,-0.657246,-16.385194
27.798587,-0.658669,-16.361548
27.802062,-0.667709,-16.362136
27.782096,-0.694098,-16.349288
27.777487,-0.696709,-16.352824
27.809080,-0.709172,-16.359620
27.785630,-0.728122,-16.354702
27.800806,-0.692540,-16.371332
27.790931,-0.713319,-16.357887
27.815356,-0.735701,-16.342838
27.794739,-0.734483,-16.336076
27.822966,-0.746323,-16.337591
27.813067,-0.751009,-16.329688
27.787884,-0.743412,-16.318864
27.814205,-0.795131,-16.318859
27.794898,-0.796674,-16.316769
27.834367,-0.776333,-16.331779
27.814141,-0.790092,-16.334773
27.811936,-0.795131,-16.308744
27.815622,-0.807099,-16.316391
27.817601,-0.799877,-16.317939
27.815707,-0.840430,-16.310283
27.828118,-0.816655,-16.323972
27.817542,-0.826717,-16.301377
27.813150,-0.837789,-16.286030
27.837624,-0.841900,-16.296138
27.811106,-0.852011,-16.303296
27.827872,-0.853382,-16.310717
27.834765,-0.870882,-16.285614
27.823006,-0.855968,-16.277289
27.826248,-0.878570,-16.285747
27.837321,-0.881224,-16.276039
27.851768,-0.880085,-16.292753
27.824599,-0.909897,-16.286652
27.853370,-0.898866,-16.286682
27.842511,-0.927405,-16.264479
27.839426,-0.925580,-16.277613
27.852183,-0.917673,-16.261965
27.851492,-0.933090,-16.267749
27.858795,-0.919847,-16.251054
27.859921,-0.953878,-16.274823
27.851807,-0.947776,-16.251377
27.860541,-0.951568,-16.263272
27.837182,-0.961292,-16.252728
27.856763,-0.949822,-16.245113
27.861682,-0.972476,-16.246988
27.851674,-0.992611,-16.237981
27.860325,-0.988424,-16.252742
27.846055,-1.007502,-16.233677
27.844432,-1.010078,-16.231222
27.838645,-0.991288,-16.209195
27.870049,-0.990428,-16.226196
27.871935,-1.021587,-16.226993
27.863616,-1.023053,-16.229259
27.873377,-1.026548,-16.225582
27.860418,-1.040112,-16.232618
27.865178,-1.029814,-16.209219
27.899040,-1.045120,-16.223482
27.874004,-1.064345,-16.209297
27.876748,-1.055185,-16.211729
27.880555,-1.062116,-16.223549
27.881028,-1.087125,-16.212825
27.861600,-1.062539,-16.193826
27.865260,-1.079262,-16.203415
27.889766,-1.089761,-16.205114
27.864128,-1.098085,-16.210051
27.888828,-1.087153,-16.199847
27.879198,-1.091529,-16.199240
27.868493,-1.079687,-16.201349
27.854994,-1.094507,-16.197877
27.887226,-1.146084,-16.200534
27.891006,-1.123422,-16.191096
27.872526,-1.130660,-16.180664
27.883689,-1.140019,-16.179555
27.908788,-1.126575,-16.164139
27.879350,-1.147425,-16.188622
27.884171,-1.143836,-16.163373
27.881539,-1.153812,-16.182665
27.876577,-1.159632,-16.169726
27.896420,-1.177513,-16.167782
27.902178,-1.164246,-16.168814
27.884696,-1.180719,-16.165881
27.892757,-1.172507,-16.165366
27.906112,-1.179321,-16.168002
27.884212,-1.193174,-16.158019
27.892901,-1.196412,-16.157669
27.896054,-1.199011,-16.154002
27.887707,-1.195088,-16.136539
27.903307,-1.210969,-16.149694
27.904421,-1.207650,-16.163765
27.910652,-1.223502,-16.140923
27.899525,-1.213953,-16.156699
27.903802,-1.246234,-16.137862
27.909078,-1.237229,-16.162142
27.909477,-1.239481,-16.137754
