q0 (),q1,q2,q3
1.000000,0.000000,0.000000,0.000000
1.000000,0.000025,0.000009,0.000025
1.000000,0.000075,0.000027,0.000075
1.000000,0.000150,0.000053,0.000149
1.000000,0.000248,0.000085,0.000245
1.000000,0.000367,0.000123,0.000360
1.000000,0.000505,0.000167,0.000493
1.000000,0.000660,0.000216,0.000641
0.999999,0.000830,0.000270,0.000803
0.999999,0.001013,0.000327,0.000977
0.999999,0.001209,0.000388,0.001163
0.999998,0.001414,0.000453,0.001359
0.999997,0.001630,0.000520,0.001563
0.999997,0.001854,0.000590,0.001776
0.999996,0.002085,0.000662,0.001995
0.999995,0.002323,0.000736,0.002220
0.999993,0.002567,0.000812,0.002451
0.999992,0.002816,0.000889,0.002687
0.999991,0.003070,0.000969,0.002926
0.999989,0.003327,0.001049,0.003170
0.999987,0.003588,0.001130,0.003416
0.999985,0.003852,0.001213,0.003665
0.999983,0.004118,0.001296,0.003917
0.999981,0.004386,0.001381,0.004170
0.999978,0.004656,0.001465,0.004425
0.999976,0.004927,0.001551,0.004681
0.999973,0.005200,0.001637,0.004938
0.999970,0.005473,0.001723,0.005196
0.999967,0.005748,0.001810,0.005455
0.999964,0.006022,0.001896,0.005714
0.999960,0.006297,0.001984,0.005973
0.999957,0.006572,0.002071,0.006232
0.999953,0.006847,0.002158,0.006491
0.999949,0.007121,0.002246,0.006750
0.999945,0.007396,0.002333,0.007009
0.999941,0.007670,0.002421,0.007267
0.999937,0.007943,0.002508,0.007525
0.999933,0.008216,0.002596,0.007782
0.999928,0.008488,0.002683,0.008038
0.999923,0.008759,0.002771,0.008294
0.999919,0.009030,0.002858,0.008549
0.999914,0.009299,0.002945,0.008803
0.999909,0.009568,0.003032,0.009056
0.999903,0.009836,0.003118,0.009309
0.999898,0.010102,0.003205,0.009560
0.999893,0.010368,0.003291,0.009810
0.999887,0.010632,0.003377,0.010059
0.999882,0.010896,0.003463,0.010308
0.999876,0.011158,0.003549,0.010555
0.999870,0.011419,0.003634,0.010801
0.999864,0.011679,0.003720,0.011046
0.999858,0.011938,0.003805,0.011289
0.999852,0.012196,0.003889,0.011532
0.999845,0.012452,0.003974,0.011773
0.999839,0.012707,0.004058,0.012014
0.999832,0.012961,0.004142,0.012253
0.999826,0.013213,0.004225,0.012491
0.999819,0.013465,0.004309,0.012728
0.999812,0.013715,0.004392,0.012963
0.999805,0.013964,0.004474,0.013197
0.999798,0.014211,0.004557,0.013431
0.999791,0.014458,0.004639,0.013663
0.999784,0.014703,0.004721,0.013893
0.999777,0.014947,0.004802,0.014123
0.999770,0.015189,0.004884,0.014351
0.999762,0.015430,0.004965,0.014579
0.999755,0.015671,0.005045,0.014805
0.999747,0.015909,0.005126,0.015030
0.999740,0.016147,0.005206,0.015253
0.999732,0.016383,0.005285,0.015476
0.999724,0.016618,0.005365,0.015697
0.999716,0.016852,0.005444,0.015917
0.999709,0.017085,0.005523,0.016136
0.999701,0.017316,0.005601,0.016354
0.999693,0.017546,0.005680,0.016571
0.999685,0.017775,0.005758,0.016786
0.999676,0.018003,0.005835,0.017001
0.999668,0.018229,0.005913,0.017214
0.999660,0.018454,0.005990,0.017426
0.999652,0.018678,0.006066,0.017637
0.999643,0.018901,0.006143,0.017847
0.999635,0.019123,0.006219,0.018055
0.999626,0.019343,0.006295,0.018263
0.999618,0.019562,0.006370,0.018469
0.999609,0.019781,0.006445,0.018674
0.999601,0.019998,0.006520,0.018879
0.999592,0.020213,0.006595,0.019082
0.999583,0.020428,0.006669,0.019284
0.999574,0.020641,0.006743,0.019485
0.999565,0.020854,0.006817,0.019685
0.999557,0.021065,0.006890,0.019883
0.999548,0.021275,0.006963,0.020081
0.999539,0.021484,0.007036,0.020278
0.999530,0.021692,0.007109,0.020473
0.999521,0.021898,0.007181,0.020668
0.999512,0.022104,0.007253,0.020861
0.999503,0.022308,0.007324,0.021054
0.999493,0.022512,0.007395,0.021245
0.999484,0.022714,0.007466,0.021436
0.999475,0.022915,0.007537,0.021625
0.999466,0.023115,0.007608,0.021813
0.999457,0.023314,0.007678,0.022000
0.999447,0.023512,0.007748,0.022187
0.999438,0.023709,0.007817,0.022372
0.999429,0.023905,0.007886,0.022556
0.999419,0.024100,0.007955,0.022740
0.999410,0.024293,0.008024,0.022922
0.999400,0.024486,0.008092,0.023103
0.999391,0.024678,0.008160,0.023284
0.999381,0.024868,0.008228,0.023463
0.999372,0.025058,0.008296,0.023641
0.999362,0.025247,0.008363,0.023819
0.999353,0.025434,0.008430,0.023995
0.999343,0.025621,0.008496,0.024171
0.999334,0.025806,0.008563,0.024345
0.999324,0.025991,0.008629,0.024519
0.999315,0.026174,0.008695,0.024692
0.999305,0.026357,0.008760,0.024864
0.999295,0.026539,0.008825,0.025034
0.999286,0.026719,0.008890,0.025204
0.999276,0.026899,0.008955,0.025373
0.999266,0.027077,0.009020,0.025541
0.999257,0.027255,0.009084,0.025709
0.999247,0.027432,0.009147,0.025875
0.999237,0.027608,0.009211,0.026040
0.999227,0.027783,0.009274,0.026205
0.999218,0.027957,0.009337,0.026368
0.999208,0.028130,0.009400,0.026531
0.999198,0.028302,0.009463,0.026693
0.999188,0.028473,0.009525,0.026854
0.999179,0.028643,0.009587,0.027014
