ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.000000,0.601468,-10.780325
1.000271,0.541354,-10.780395
1.000795,0.487281,-10.780525
1.001553,0.438643,-10.780706
1.002527,0.394894,-10.780930
1.003702,0.355544,-10.781189
1.005060,0.320152,-10.781479
1.006588,0.288320,-10.781793
1.008270,0.259690,-10.782128
1.010093,0.233941,-10.782478
1.012045,0.210784,-10.782841
1.014115,0.189959,-10.783213
1.016291,0.171230,-10.783592
1.018564,0.154388,-10.783976
0.451118,0.139244,-10.784362
0.397500,0.125518,-10.784578
0.362596,0.113150,-10.784768
0.331498,0.102007,-10.784940
0.303824,0.091964,-10.785092
0.279231,0.082912,-10.785227
0.257411,0.074750,-10.785346
0.238086,0.067391,-10.785449
0.221006,0.060752,-10.785537
0.205946,0.054763,-10.785612
0.192702,0.049358,-10.785675
0.181092,0.044477,-10.785726
0.170952,0.040070,-10.785766
0.162134,0.036088,-10.785797
0.154505,0.032490,-10.785818
0.147944,0.029235,-10.785831
0.142344,0.026291,-10.785837
0.137607,0.023626,-10.785835
0.133646,0.021213,-10.785827
0.130383,0.019025,-10.785813
0.127746,0.017041,-10.785793
0.125671,0.015241,-10.785769
0.124101,0.013605,-10.785739
0.122985,0.012118,-10.785706
0.122275,0.010764,-10.785668
0.121930,0.009531,-10.785627
0.121913,0.008406,-10.785583
0.122188,0.007379,-10.785535
0.122726,0.006440,-10.785485
0.123499,0.005580,-10.785432
0.124482,0.004791,-10.785377
0.125653,0.004067,-10.785319
0.126992,0.003400,-10.785259
0.128481,0.002786,-10.785198
0.130103,0.002218,-10.785134
0.131844,0.001693,-10.785069
0.133691,0.001206,-10.785002
0.135632,0.000754,-10.784934
0.137657,0.000332,-10.784865
0.139755,-0.000061,-10.784794
0.141918,-0.000429,-10.784722
0.144138,-0.000775,-10.784649
0.146408,-0.001100,-10.784575
0.148723,-0.001406,-10.784500
0.151076,-0.001695,-10.784424
0.153462,-0.001970,-10.784347
0.155877,-0.002230,-10.784269
0.158316,-0.002479,-10.784190
0.160777,-0.002716,-10.784111
0.163255,-0.002942,-10.784031
0.165747,-0.003160,-10.783950
0.168252,-0.003370,-10.783869
0.170766,-0.003571,-10.783787
0.173287,-0.003766,-10.783704
0.175814,-0.003955,-10.783621
0.178344,-0.004138,-10.783537
0.180877,-0.004316,-10.783453
0.183410,-0.004489,-10.783368
0.185943,-0.004658,-10.783283
0.188474,-0.004822,-10.783198
0.191002,-0.004984,-10.783112
0.193527,-0.005142,-10.783025
0.196048,-0.005297,-10.782938
0.198563,-0.005449,-10.782851
0.201073,-0.005599,-10.782764
0.203576,-0.005746,-10.782676
0.206072,-0.005891,-10.782588
0.208561,-0.006034,-10.782499
0.211043,-0.006175,-10.782410
0.213516,-0.006315,-10.782321
0.215981,-0.006452,-10.782232
0.218437,-0.006589,-10.782142
0.220884,-0.006723,-10.782052
0.223322,-0.006857,-10.781962
0.225751,-0.006989,-10.781872
0.228171,-0.007120,-10.781781
0.230580,-0.007250,-10.781690
0.232980,-0.007379,-10.781599
0.235371,-0.007507,-10.781508
0.237751,-0.007634,-10.781417
0.240121,-0.007759,-10.781325
0.242481,-0.007884,-10.781233
0.244831,-0.008009,-10.781141
0.247170,-0.008132,-10.781049
0.249499,-0.008254,-10.780957
0.251819,-0.008376,-10.780865
0.254127,-0.008497,-10.780772
0.256426,-0.008617,-10.780680
0.258714,-0.008737,-10.780587
0.260992,-0.008856,-10.780494
0.263259,-0.008974,-10.780401
0.265517,-0.009091,-10.780308
0.267764,-0.009208,-10.780215
0.270000,-0.009324,-10.780122
0.272227,-0.009440,-10.780029
0.274443,-0.009555,-10.779935
0.276649,-0.009669,-10.779842
0.278845,-0.009783,-10.779748
0.281031,-0.009896,-10.779655
0.283206,-0.010008,-10.779561
0.285372,-0.010120,-10.779468
0.287527,-0.010232,-10.779374
0.289673,-0.010342,-10.779281
0.291808,-0.010453,-10.779187
0.293934,-0.010562,-10.779093
0.296049,-0.010671,-10.779000
0.298155,-0.010780,-10.778906
0.300251,-0.010888,-10.778812
0.302337,-0.010996,-10.778719
0.304413,-0.011103,-10.778625
0.306480,-0.011209,-10.778531
0.308537,-0.011315,-10.778438
0.310584,-0.011420,-10.778344
0.312622,-0.011525,-10.778251
0.314650,-0.011629,-10.778157
0.316668,-0.011733,-10.778064
0.318677,-0.011837,-10.777970
0.320677,-0.011939,-10.777877
0.322667,-0.012042,-10.777784
0.324648,-0.012143,-10.777691
0.326620,-0.012245,-10.777597
0.328582,-0.012345,-10.777504
