ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.000025,0.286479,0.286479
0.000020,0.572958,0.572958
-0.000060,0.859437,0.859437
-0.000257,1.145916,1.145916
-0.000603,1.432395,1.414005
-0.001122,1.718873,1.654578
-0.001832,2.005352,1.870267
-0.002745,2.291831,2.063451
-0.003871,2.578310,2.236284
-0.005215,2.864789,2.390714
-0.006781,3.123909,2.528505
-0.008557,3.355554,2.651251
-0.010526,3.562357,2.760394
-0.012673,3.746699,2.857241
-0.014978,3.910733,2.942971
-0.017424,4.056408,3.018654
-0.019993,4.185488,3.085255
-0.022669,4.299567,3.143650
-0.025434,4.400088,3.194629
-0.028274,4.488357,3.238908
-0.031176,4.565555,3.277135
-0.034125,4.632751,3.309895
-0.037112,4.690910,3.337718
-0.040124,4.740908,3.361085
-0.043152,4.783536,3.380427
-0.046189,4.819510,3.396139
-0.049226,4.849476,3.408575
-0.052257,4.874021,3.418056
-0.055275,4.893674,3.424873
-0.058276,4.908916,3.429288
-0.061255,4.920178,3.431539
-0.064209,4.927855,3.431842
-0.067133,4.932300,3.430390
-0.070026,4.933834,3.427360
-0.072884,4.932748,3.422911
-0.075705,4.929304,3.417187
-0.078489,4.923740,3.410318
-0.081232,4.916270,3.402422
-0.083936,4.907089,3.393606
-0.086597,4.896373,3.383965
-0.089217,4.884281,3.373587
-0.091793,4.870955,3.362550
-0.094327,4.856526,3.350927
-0.096817,4.841112,3.338781
-0.099265,4.824819,3.326170
-0.101669,4.807743,3.313148
-0.104029,4.789971,3.299761
-0.106347,4.771581,3.286054
-0.108622,4.752644,3.272064
-0.110855,4.733224,3.257826
-0.113046,4.713380,3.243374
-0.115195,4.693164,3.228734
-0.117303,4.672622,3.213934
-0.119370,4.651799,3.198997
-0.121397,4.630732,3.183943
-0.123385,4.609456,3.168792
-0.125333,4.588003,3.153561
-0.127242,4.566402,3.138266
-0.129113,4.544677,3.122921
-0.130946,4.522853,3.107538
-0.132742,4.500949,3.092128
-0.134501,4.478986,3.076703
-0.136224,4.456979,3.061271
-0.137912,4.434944,3.045841
-0.139564,4.412896,3.030419
-0.141182,4.390846,3.015014
-0.142765,4.368805,2.999631
-0.144315,4.346784,2.984275
