ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000,0.000000,0.000000
0.001196,0.002407,0.000706
0.003467,0.006980,0.002047
0.006704,0.013498,0.003959
0.010811,0.021766,0.006383
0.015697,0.031603,0.009268
0.021281,0.042847,0.012566
0.027493,0.055353,0.016233
0.034265,0.068988,0.020232
0.041538,0.083631,0.024527
0.049259,0.099176,0.029086
0.057379,0.115524,0.033880
0.065854,0.132587,0.038884
0.074644,0.150284,0.044074
0.083713,0.168543,0.049429
0.093029,0.187300,0.054930
0.102562,0.206494,0.060559
0.112287,0.226072,0.066301
0.122178,0.245987,0.072141
0.132215,0.266195,0.078067
0.142378,0.286656,0.084068
0.152649,0.307335,0.090133
0.163011,0.328199,0.096251
0.173452,0.349220,0.102416
0.183958,0.370371,0.108619
0.194516,0.391629,0.114854
0.205117,0.412973,0.121113
0.215752,0.434383,0.127392
0.226410,0.455842,0.133686
0.237085,0.477334,0.139989
0.247769,0.498846,0.146297
0.258457,0.520364,0.152608
0.269142,0.541877,0.158917
0.279820,0.563375,0.165222
0.290486,0.584849,0.171520
0.301135,0.606290,0.177808
0.311765,0.627691,0.184084
0.322371,0.649045,0.190347
0.332951,0.670347,0.196594
0.343503,0.691590,0.202824
0.354022,0.712770,0.209035
0.364509,0.733883,0.215227
0.374960,0.754925,0.221398
0.385374,0.775893,0.227547
0.395750,0.796783,0.233674
0.406086,0.817592,0.239777
0.416381,0.838319,0.245855
0.426634,0.858962,0.251909
0.436843,0.879517,0.257938
0.447009,0.899985,0.263940
0.457131,0.920363,0.269917
0.467207,0.940650,0.275866
0.477238,0.960845,0.281789
0.487222,0.980948,0.287684
0.497160,1.000957,0.293552
0.507052,1.020872,0.299393
0.516896,1.040691,0.305205
0.526693,1.060416,0.310990
0.536443,1.080045,0.316747
0.546145,1.099579,0.322475
0.555799,1.119016,0.328176
0.565405,1.138358,0.333848
0.574964,1.157603,0.339492
0.584475,1.176752,0.345108
0.593938,1.195805,0.350696
0.603354,1.214761,0.356255
0.612722,1.233622,0.361787
0.622042,1.252388,0.367290
0.631315,1.271057,0.372765
0.640541,1.289631,0.378213
0.649719,1.308111,0.383632
0.658850,1.326495,0.389024
0.667935,1.344785,0.394387
0.676972,1.362980,0.399724
0.685963,1.381082,0.405032
0.694907,1.399090,0.410314
0.703806,1.417005,0.415568
0.712657,1.434827,0.420794
0.721464,1.452557,0.425994
0.730224,1.470194,0.431167
0.738939,1.487740,0.436312
0.747608,1.505195,0.441431
0.756232,1.522558,0.446523
0.764812,1.539832,0.451589
0.773346,1.557015,0.456628
0.781836,1.574108,0.461641
0.790282,1.591112,0.466628
0.798683,1.608027,0.471589
0.807041,1.624854,0.476524
0.815355,1.641593,0.481433
0.823626,1.658245,0.486316
0.831853,1.674809,0.491174
0.840037,1.691287,0.496007
0.848178,1.707678,0.500814
0.856277,1.723984,0.505596
0.864333,1.740204,0.510353
0.872348,1.756339,0.515085
0.880320,1.772390,0.519792
0.888250,1.788356,0.524474
0.896139,1.804239,0.529132
0.903986,1.820039,0.533766
0.911793,1.835755,0.538375
0.919558,1.851390,0.542960
0.927283,1.866942,0.547521
0.934967,1.882413,0.552059
0.942611,1.897803,0.556572
0.950214,1.913112,0.561062
0.957778,1.928340,0.565528
0.965302,1.943489,0.569970
0.972787,1.958558,0.574390
0.980232,1.973549,0.578786
0.987639,1.988460,0.583159
0.995006,2.003294,0.587509
1.002335,2.018049,0.591837
1.009626,2.032727,0.596142
1.016878,2.047328,0.600424
1.024092,2.061853,0.604683
1.031268,2.076301,0.608920
1.038407,2.090673,0.613136
1.045508,2.104970,0.617328
1.052571,2.119192,0.621499
1.059598,2.133340,0.625648
1.066588,2.147413,0.629776
1.073541,2.161412,0.633881
1.080458,2.175338,0.637965
1.087338,2.189190,0.642028
1.094183,2.202970,0.646069
1.100991,2.216678,0.650089
1.107764,2.230313,0.654088
1.114501,2.243878,0.658066
1.121202,2.257370,0.662023
1.127869,2.270792,0.665959
1.134501,2.284144,0.669875
1.141097,2.297426,0.673770
1.147659,2.310637,0.677645
1.154187,2.323780,0.681499
1.160680,2.336853,0.685333
1.167140,2.349858,0.689147
1.173565,2.362795,0.692941
1.179957,2.375663,0.696715
1.186315,2.388465,0.700469
1.192640,2.401199,0.704204
1.198931,2.413866,0.707919
1.205190,2.426466,0.711614
1.211416,2.439001,0.715290
1.217609,2.451469,0.718947
1.223769,2.463873,0.722584
1.229897,2.476211,0.726203
1.235993,2.488484,0.729802
1.242057,2.500693,0.733383
1.248089,2.512838,0.736944
1.254090,2.524919,0.740487
1.260059,2.536937,0.744012
1.265997,2.548891,0.747518
1.271903,2.560783,0.751005
1.277778,2.572612,0.754475
1.283623,2.584380,0.757926
1.289437,2.596085,0.761359
1.295221,2.607729,0.764773
1.300974,2.619312,0.768170
1.306697,2.630834,0.771549
1.312389,2.642296,0.774911
1.318052,2.653698,0.778255
1.323686,2.665039,0.781581
1.329289,2.676321,0.784890
1.334864,2.687544,0.788181
1.340409,2.698708,0.791455
1.345924,2.709814,0.794712
1.351411,2.720861,0.797952
1.356869,2.731850,0.801174
1.362299,2.742781,0.804380
1.367700,2.753655,0.807569
1.373073,2.764472,0.810742
1.378417,2.775233,0.813897
1.383733,2.785936,0.817036
1.389022,2.796584,0.820159
1.394282,2.807175,0.823265
1.399516,2.817711,0.826355
1.404721,2.828192,0.829429
1.409899,2.838618,0.832486
1.415051,2.848989,0.835528
1.420175,2.859305,0.838554
1.425272,2.869568,0.841563
1.430342,2.879776,0.844557
1.435386,2.889931,0.847535
1.440403,2.900033,0.850498
1.445394,2.910081,0.853445
1.450359,2.920077,0.856376
1.455298,2.930020,0.859292
1.460211,2.939912,0.862193
1.465098,2.949751,0.865079
1.469959,2.959538,0.867949
1.474795,2.969275,0.870804
1.479605,2.978960,0.873645
1.484390,2.988594,0.876470
1.489151,2.998178,0.879281
1.493886,3.007711,0.882077
1.498596,3.017194,0.884858
1.503281,3.026628,0.887625
1.507942,3.036012,0.890377
1.512579,3.045347,0.893114
1.517191,3.054633,0.895838
1.521779,3.063870,0.898546
1.526343,3.073058,0.901241
1.530882,3.082199,0.903922
1.535398,3.091291,0.906588
1.539891,3.100335,0.909241
1.544360,3.109333,0.911879
1.548805,3.118282,0.914504
1.553227,3.127185,0.917115
1.557625,3.136042,0.919712
1.562001,3.144851,0.922296
1.566354,3.153615,0.924866
1.570684,3.162332,0.927423
1.574991,3.171004,0.929966
1.579275,3.179630,0.932496
1.583537,3.188211,0.935012
1.587777,3.196747,0.937516
1.591994,3.205238,0.940006
1.596189,3.213684,0.942483
1.600363,3.222086,0.944947
1.604514,3.230444,0.947398
1.608643,3.238759,0.949836
1.612751,3.247029,0.952262
1.616838,3.255256,0.954675
1.620902,3.263440,0.957075
1.624946,3.271581,0.959462
1.628968,3.279679,0.961837
1.632969,3.287735,0.964200
1.636949,3.295748,0.966550
1.640909,3.303720,0.968888
1.644847,3.311649,0.971213
1.648765,3.319537,0.973527
1.652662,3.327384,0.975828
1.656539,3.335189,0.978117
1.660395,3.342953,0.980394
1.664232,3.350677,0.982659
1.668048,3.358360,0.984912
1.671844,3.366002,0.987154
1.675620,3.373605,0.989383
1.679376,3.381168,0.991601
1.683112,3.388691,0.993807
1.686829,3.396174,0.996002
1.690527,3.403618,0.998185
1.694205,3.411023,1.000357
1.697864,3.418390,1.002517
1.701503,3.425717,1.004666
1.705123,3.433006,1.006804
1.708725,3.440257,1.008930
1.712307,3.447470,1.011046
1.715871,3.454645,1.013150
1.719416,3.461782,1.015243
1.722942,3.468882,1.017325
1.726450,3.475944,1.019396
1.729940,3.482970,1.021457
1.733411,3.489958,1.023506
1.736864,3.496910,1.025545
1.740298,3.503826,1.027573
1.743715,3.510705,1.029591
1.747114,3.517548,1.031597
1.750495,3.524355,1.033594
1.753858,3.531126,1.035580
1.757204,3.537862,1.037555
1.760532,3.544562,1.039520
1.763842,3.551228,1.041475
1.767135,3.557858,1.043419
1.770411,3.564453,1.045354
1.773670,3.571014,1.047278
1.776911,3.577540,1.049192
1.780136,3.584033,1.051096
1.783344,3.590491,1.052990
1.786534,3.596915,1.054874
1.789708,3.603305,1.056748
1.792866,3.609662,1.058612
1.796007,3.615986,1.060467
1.799131,3.622276,1.062311
1.802239,3.628533,1.064146
1.805330,3.634758,1.065972
1.808406,3.640950,1.067788
1.811465,3.647109,1.069594
1.814508,3.653236,1.071391
1.817535,3.659331,1.073178
1.820547,3.665393,1.074956
1.823542,3.671424,1.076725
1.826522,3.677424,1.078485
1.829486,3.683391,1.080235
1.832435,3.689328,1.081976
1.835368,3.695233,1.083708
1.838285,3.701108,1.085430
1.841188,3.706951,1.087144
1.844075,3.712764,1.088849
1.846947,3.718546,1.090545
1.849804,3.724298,1.092232
1.852646,3.730020,1.093910
1.855473,3.735712,1.095579
1.858285,3.741373,1.097239
1.861082,3.747006,1.098891
1.863865,3.752608,1.100534
1.866633,3.758181,1.102169
1.869387,3.763725,1.103794
1.872126,3.769240,1.105412
1.874851,3.774726,1.107021
1.877561,3.780183,1.108621
1.880257,3.785611,1.110213
1.882939,3.791011,1.111797
1.885607,3.796383,1.113372
1.888261,3.801726,1.114939
1.890901,3.807041,1.116498
1.893527,3.812329,1.118048
1.896140,3.817589,1.119591
1.898738,3.822821,1.121125
1.901323,3.828025,1.122652
1.903895,3.833202,1.124170
1.906453,3.838353,1.125680
1.908997,3.843476,1.127183
1.911529,3.848572,1.128677
1.914047,3.853641,1.130164
1.916551,3.858684,1.131643
1.919043,3.863700,1.133114
1.921521,3.868690,1.134578
1.923987,3.873654,1.136033
1.926439,3.878592,1.137482
1.928879,3.883504,1.138922
1.931306,3.888390,1.140355
1.933720,3.893250,1.141780
1.936121,3.898085,1.143198
1.938510,3.902894,1.144609
1.940886,3.907679,1.146012
1.943250,3.912438,1.147408
1.945601,3.917172,1.148796
1.947940,3.921881,1.150177
1.950267,3.926566,1.151551
1.952582,3.931226,1.152918
1.954884,3.935861,1.154277
1.957174,3.940473,1.155629
1.959453,3.945060,1.156975
1.961719,3.949623,1.158313
1.963974,3.954161,1.159644
1.966216,3.958677,1.160968
1.968447,3.963168,1.162285
1.970666,3.967636,1.163596
1.972874,3.972080,1.164899
1.975069,3.976501,1.166196
1.977254,3.980899,1.167485
1.979427,3.985274,1.168768
1.981588,3.989626,1.170045
1.983738,3.993955,1.171314
1.985877,3.998261,1.172577
1.988005,4.002545,1.173833
1.990121,4.006806,1.175083
1.992227,4.011045,1.176326
1.994321,4.015261,1.177563
1.996404,4.019456,1.178793
1.998477,4.023628,1.180017
2.000538,4.027779,1.181234
2.002589,4.031907,1.182445
2.004629,4.036014,1.183649
2.006658,4.040100,1.184847
2.008676,4.044164,1.186039
2.010684,4.048206,1.187225
2.012682,4.052228,1.188404
2.014669,4.056228,1.189577
2.016645,4.060208,1.190744
2.018611,4.064166,1.191905
2.020567,4.068104,1.193060
2.022512,4.072021,1.194209
2.024448,4.075917,1.195351
2.026373,4.079793,1.196488
2.028288,4.083649,1.197619
2.030193,4.087484,1.198744
2.032088,4.091300,1.199863
2.033973,4.095095,1.200976
2.035848,4.098870,1.202083
2.037714,4.102626,1.203184
2.039569,4.106361,1.204280
2.041415,4.110078,1.205370
2.043251,4.113774,1.206454
2.045077,4.117452,1.207532
2.046894,4.121110,1.208605
2.048702,4.124748,1.209672
2.050499,4.128368,1.210734
2.052288,4.131969,1.211790
2.054067,4.135551,1.212840
2.055836,4.139113,1.213885
2.057597,4.142658,1.214925
2.059348,4.146183,1.215959
2.061090,4.149691,1.216987
2.062823,4.153179,1.218010
2.064546,4.156650,1.219028
2.066261,4.160102,1.220040
2.067967,4.163536,1.221048
2.069663,4.166952,1.222049
2.071351,4.170350,1.223046
2.073030,4.173731,1.224037
2.074700,4.177093,1.225024
2.076362,4.180438,1.226004
2.078014,4.183765,1.226980
2.079658,4.187075,1.227951
2.081294,4.190368,1.228917
2.082920,4.193643,1.229877
2.084539,4.196901,1.230833
2.086148,4.200142,1.231783
2.087750,4.203366,1.232729
2.089342,4.206573,1.233669
2.090927,4.209763,1.234605
2.092503,4.212936,1.235535
2.094071,4.216093,1.236461
2.095631,4.219233,1.237382
2.097182,4.222357,1.238298
2.098726,4.225464,1.239209
2.100261,4.228555,1.240116
2.101788,4.231630,1.241018
2.103307,4.234689,1.241915
2.104818,4.237731,1.242807
2.106322,4.240758,1.243695
2.107817,4.243768,1.244578
2.109305,4.246763,1.245456
2.110784,4.249743,1.246330
2.112256,4.252706,1.247199
2.113720,4.255654,1.248063
2.115177,4.258587,1.248923
2.116626,4.261504,1.249779
2.118067,4.264406,1.250630
2.119501,4.267292,1.251476
2.120927,4.270164,1.252318
2.122346,4.273020,1.253156
2.123757,4.275861,1.253989
2.125161,4.278688,1.254818
2.126557,4.281499,1.255643
2.127947,4.284296,1.256463
2.129328,4.287078,1.257279
2.130703,4.289846,1.258091
2.132070,4.292599,1.258898
2.133431,4.295337,1.259701
2.134784,4.298062,1.260500
2.136130,4.300772,1.261295
2.137468,4.303467,1.262085
2.138800,4.306149,1.262872
2.140125,4.308816,1.263654
2.141443,4.311470,1.264432
2.142754,4.314109,1.265206
2.144058,4.316735,1.265976
2.145356,4.319347,1.266742
2.146646,4.321945,1.267504
2.147930,4.324529,1.268262
2.149207,4.327100,1.269016
2.150477,4.329658,1.269766
2.151741,4.332202,1.270513
2.152998,4.334733,1.271255
2.154248,4.337250,1.271993
2.155492,4.339754,1.272727
2.156729,4.342245,1.273458
2.157960,4.344723,1.274185
2.159184,4.347188,1.274908
2.160402,4.349640,1.275627
2.161613,4.352079,1.276342
2.162819,4.354506,1.277054
2.164017,4.356919,1.277761
2.165210,4.359320,1.278466
2.166396,4.361708,1.279166
2.167576,4.364084,1.279863
2.168750,4.366448,1.280556
2.169918,4.368799,1.281245
2.171079,4.371137,1.281931
2.172235,4.373463,1.282613
2.173384,4.375777,1.283292
2.174527,4.378079,1.283967
2.175665,4.380369,1.284639
2.176796,4.382647,1.285307
2.177921,4.384913,1.285971
2.179041,4.387167,1.286632
2.180155,4.389409,1.287290
2.181262,4.391640,1.287944
2.182364,4.393858,1.288595
2.183461,4.396065,1.289242
2.184551,4.398261,1.289886
2.185636,4.400445,1.290526
2.186715,4.402617,1.291163
2.187788,4.404778,1.291797
2.188856,4.406928,1.292428
2.189918,4.409066,1.293055
2.190975,4.411194,1.293679
2.192026,4.413310,1.294299
2.193071,4.415414,1.294916
2.194111,4.417508,1.295531
2.195146,4.419591,1.296141
2.196175,4.421663,1.296749
2.197198,4.423724,1.297353
2.198217,4.425775,1.297955
2.199230,4.427814,1.298553
2.200237,4.429843,1.299148
2.201240,4.431861,1.299740
2.202237,4.433868,1.300328
2.203229,4.435866,1.300914
2.204215,4.437852,1.301497
2.205197,4.439828,1.302076
2.206173,4.441794,1.302653
2.207145,4.443749,1.303226
2.208111,4.445694,1.303797
2.209072,4.447629,1.304364
2.210028,4.449554,1.304929
2.210979,4.451469,1.305490
2.211925,4.453373,1.306049
2.212866,4.455268,1.306604
2.213802,4.457153,1.307157
2.214733,4.459027,1.307707
2.215659,4.460892,1.308254
2.216581,4.462748,1.308798
2.217497,4.464593,1.309339
2.218409,4.466429,1.309877
2.219316,4.468255,1.310413
2.220218,4.470071,1.310946
2.221116,4.471878,1.311476
2.222009,4.473676,1.312003
2.222897,4.475464,1.312527
2.223780,4.477242,1.313049
2.224659,4.479012,1.313568
2.225533,4.480772,1.314084
