ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.000000,0.000000,0.000000
0.009999,0.010000,-0.010000
0.019996,0.020002,-0.020002
0.029989,0.030006,-0.030005
0.039978,0.038178,-0.040011
0.049960,0.045469,-0.050020
0.059936,0.052036,-0.060033
0.069905,0.057952,-0.070051
0.079866,0.063283,-0.080074
0.089819,0.068088,-0.090102
0.099765,0.072420,-0.100136
0.109702,0.076328,-0.110177
0.116192,0.079851,-0.120215
0.120700,0.083028,-0.130254
0.124741,0.085894,-0.140294
0.128360,0.088482,-0.150336
0.131599,0.090820,-0.160380
0.134495,0.092932,-0.170426
0.137082,0.094841,-0.180472
0.139390,0.096569,-0.190520
0.141445,0.098132,-0.200568
0.143273,0.099549,-0.210617
0.144894,0.100833,-0.220667
0.146330,0.101998,-0.230717
0.147598,0.103057,-0.240767
0.148714,0.104019,-0.250818
0.149693,0.104895,-0.260868
0.150547,0.105694,-0.270919
0.151288,0.106423,-0.280970
0.151927,0.107090,-0.291020
0.152473,0.107701,-0.301071
0.152935,0.108262,-0.311121
0.153321,0.108778,-0.321171
0.153638,0.109253,-0.331220
0.153891,0.109692,-0.341270
0.154087,0.110099,-0.351319
0.154231,0.110477,-0.361367
0.154327,0.110828,-0.371416
0.154379,0.111157,-0.381464
0.154391,0.111465,-0.391511
0.154367,0.111754,-0.401558
0.154309,0.112027,-0.411605
0.154220,0.112285,-0.421651
0.154104,0.112530,-0.431697
0.153960,0.112763,-0.441743
0.153793,0.112986,-0.451788
0.153604,0.113200,-0.461832
0.153394,0.113406,-0.471876
0.153164,0.113605,-0.481920
0.152917,0.113797,-0.491963
0.152653,0.113984,-0.502006
0.152374,0.114166,-0.512048
0.152080,0.114343,-0.522090
0.151773,0.114517,-0.532131
0.151452,0.114688,-0.542172
0.151120,0.114856,-0.552212
0.150776,0.115022,-0.562252
0.150421,0.115186,-0.572292
0.150055,0.115348,-0.582331
0.149680,0.115509,-0.592370
0.149296,0.115669,-0.602408
0.148903,0.115828,-0.612446
0.148501,0.115986,-0.622483
0.148091,0.116144,-0.632520
0.147672,0.116301,-0.642556
0.147247,0.116458,-0.652592
0.146814,0.116616,-0.662628
0.146373,0.116773,-0.672663
0.145926,0.116931,-0.682697
0.145472,0.117088,-0.692732
0.145012,0.117247,-0.702765
0.144545,0.117405,-0.712799
0.144072,0.117564,-0.722832
0.143593,0.117724,-0.732864
0.143108,0.117884,-0.742896
0.142617,0.118045,-0.752928
0.142120,0.118207,-0.762959
0.141618,0.118369,-0.772989
0.141111,0.118532,-0.783020
0.140598,0.118696,-0.793050
0.140079,0.118861,-0.803079
0.139556,0.119026,-0.813108
0.139028,0.119193,-0.823136
0.138494,0.119360,-0.833165
0.137955,0.119528,-0.843192
0.137412,0.119697,-0.853220
0.136864,0.119866,-0.863246
0.136311,0.120037,-0.873273
0.135753,0.120208,-0.883299
0.135191,0.120381,-0.893324
0.134624,0.120554,-0.903349
0.134052,0.120728,-0.913374
0.133476,0.120903,-0.923398
0.132896,0.121079,-0.933422
0.132311,0.121256,-0.943446
0.131722,0.121433,-0.953469
0.131128,0.121612,-0.963491
0.130531,0.121791,-0.973514
0.129929,0.121971,-0.983535
0.129323,0.122152,-0.993557
0.128712,0.122334,-1.003578
0.128098,0.122516,-1.013598
0.127480,0.122700,-1.023618
0.126858,0.122884,-1.033638
0.126231,0.123069,-1.043658
0.125601,0.123255,-1.053676
0.124967,0.123442,-1.063695
0.124329,0.123630,-1.073713
0.123688,0.123818,-1.083731
0.123042,0.124007,-1.093748
0.122393,0.124197,-1.103765
0.121740,0.124387,-1.113782
0.121083,0.124579,-1.123798
0.120423,0.124771,-1.133813
0.119759,0.124964,-1.143829
0.119092,0.125157,-1.153844
0.118421,0.125352,-1.163858
0.117747,0.125547,-1.173872
0.117069,0.125742,-1.183886
0.116387,0.125939,-1.193899
0.115703,0.126136,-1.203912
0.115015,0.126334,-1.213925
0.114323,0.126532,-1.223937
0.113628,0.126731,-1.233949
0.112930,0.126931,-1.243961
0.112229,0.127132,-1.253972
0.111525,0.127333,-1.263982
0.110817,0.127535,-1.273993
0.110106,0.127737,-1.284003
0.109392,0.127940,-1.294012
0.108675,0.128144,-1.304021
0.107955,0.128348,-1.314030
0.107232,0.128553,-1.324039
0.106506,0.128758,-1.334047
0.105776,0.128964,-1.344054
0.105044,0.129171,-1.354062
0.104309,0.129378,-1.364069
0.103571,0.129586,-1.374075
0.102830,0.129794,-1.384082
0.102087,0.130003,-1.394088
0.101340,0.130213,-1.404093
0.100591,0.130423,-1.414098
0.099839,0.130633,-1.424103
0.099084,0.130844,-1.434108
0.098326,0.131056,-1.444112
0.097566,0.131268,-1.454116
0.096803,0.131481,-1.464119
0.096038,0.131694,-1.474122
0.095270,0.131907,-1.484125
0.094499,0.132122,-1.494127
0.093726,0.132336,-1.504130
0.092950,0.132551,-1.514131
0.092171,0.132767,-1.524133
0.091391,0.132983,-1.534134
0.090607,0.133199,-1.544134
0.089821,0.133416,-1.554135
0.089033,0.133634,-1.564135
0.088243,0.133851,-1.574135
0.087450,0.134070,-1.584134
0.086655,0.134289,-1.594133
0.085857,0.134508,-1.604132
0.085057,0.134727,-1.614130
0.084255,0.134947,-1.624128
0.083450,0.135168,-1.634126
0.082644,0.135389,-1.644124
0.081835,0.135610,-1.654121
0.081024,0.135831,-1.664118
0.080210,0.136053,-1.674114
0.079395,0.136276,-1.684111
0.078578,0.136499,-1.694106
0.077758,0.136722,-1.704102
0.076936,0.136945,-1.714097
0.076112,0.137169,-1.724092
0.075287,0.137394,-1.734087
0.074459,0.137618,-1.744081
0.073629,0.137843,-1.754076
0.072797,0.138069,-1.764069
0.071963,0.138294,-1.774063
0.071128,0.138520,-1.784056
0.070290,0.138747,-1.794049
0.069451,0.138973,-1.804042
0.068609,0.139200,-1.814034
0.067766,0.139428,-1.824026
0.066921,0.139655,-1.834018
0.066074,0.139883,-1.844009
0.065225,0.140112,-1.854000
0.064375,0.140340,-1.863991
0.063522,0.140569,-1.873982
0.062668,0.140799,-1.883972
0.061812,0.141028,-1.893962
0.060955,0.141258,-1.903952
0.060096,0.141488,-1.913942
0.059235,0.141718,-1.923931
0.058372,0.141949,-1.933920
0.057508,0.142180,-1.943909
0.056643,0.142411,-1.953897
0.055775,0.142642,-1.963885
0.055181,0.142801,-1.968697
0.054843,0.142892,-1.968699
0.054507,0.142982,-1.968702
0.054173,0.143072,-1.968705
0.053840,0.143161,-1.968708
0.053509,0.143250,-1.968710
0.053180,0.143338,-1.968713
0.052853,0.143426,-1.968715
0.052527,0.143513,-1.968717
0.052203,0.143599,-1.968720
0.051881,0.143685,-1.968722
0.051560,0.143771,-1.968724
0.051241,0.143856,-1.968726
0.050924,0.143941,-1.968728
0.050608,0.144025,-1.968730
0.050294,0.144109,-1.968732
0.049982,0.144192,-1.968734
0.049671,0.144274,-1.968736
0.049362,0.144357,-1.968738
0.049055,0.144438,-1.968739
0.048749,0.144520,-1.968741
0.048444,0.144600,-1.968743
0.048142,0.144681,-1.968744
0.047841,0.144760,-1.968746
0.047541,0.144840,-1.968747
0.047243,0.144919,-1.968748
0.046947,0.144997,-1.968750
0.046652,0.145075,-1.968751
0.046358,0.145153,-1.968752
0.046066,0.145230,-1.968753
0.045776,0.145306,-1.968754
0.045487,0.145383,-1.968756
0.045200,0.145458,-1.968757
0.044914,0.145534,-1.968758
0.044630,0.145609,-1.968758
0.044347,0.145683,-1.968759
0.044066,0.145757,-1.968760
0.043786,0.145831,-1.968761
0.043507,0.145904,-1.968762
0.043230,0.145977,-1.968762
0.042955,0.146049,-1.968763
0.042681,0.146121,-1.968764
0.042408,0.146193,-1.968764
0.042137,0.146264,-1.968765
0.041867,0.146334,-1.968765
0.041599,0.146405,-1.968766
0.041332,0.146475,-1.968766
0.041066,0.146544,-1.968767
0.040802,0.146613,-1.968767
0.040539,0.146682,-1.968767
0.040278,0.146750,-1.968768
0.040017,0.146818,-1.968768
0.039759,0.146886,-1.968768
0.039501,0.146953,-1.968768
0.039245,0.147020,-1.968768
0.038990,0.147086,-1.968768
0.038737,0.147152,-1.968768
0.038485,0.147218,-1.968769
0.038234,0.147283,-1.968769
0.037985,0.147348,-1.968768
0.037737,0.147412,-1.968768
0.037490,0.147476,-1.968768
0.037244,0.147540,-1.968768
0.037000,0.147603,-1.968768
0.036757,0.147667,-1.968768
0.036515,0.147729,-1.968768
0.036275,0.147792,-1.968767
0.036036,0.147854,-1.968767
0.035798,0.147915,-1.968767
0.035561,0.147976,-1.968767
0.035325,0.148037,-1.968766
0.035091,0.148098,-1.968766
0.034858,0.148158,-1.968766
0.034626,0.148218,-1.968765
0.034396,0.148278,-1.968765
0.034166,0.148337,-1.968764
0.033938,0.148396,-1.968764
0.033711,0.148454,-1.968763
0.033485,0.148512,-1.968763
0.033261,0.148570,-1.968762
0.033037,0.148628,-1.968761
0.032815,0.148685,-1.968761
0.032594,0.148742,-1.968760
0.032374,0.148799,-1.968760
0.032155,0.148855,-1.968759
0.031937,0.148911,-1.968758
0.031721,0.148966,-1.968758
0.031505,0.149022,-1.968757
0.031291,0.149077,-1.968756
0.031078,0.149131,-1.968755
0.030866,0.149186,-1.968755
0.030655,0.149240,-1.968754
0.030445,0.149294,-1.968753
0.030236,0.149347,-1.968752
0.030029,0.149400,-1.968751
0.029822,0.149453,-1.968750
0.029617,0.149506,-1.968749
0.029412,0.149558,-1.968749
0.029209,0.149610,-1.968748
0.029007,0.149662,-1.968747
0.028805,0.149713,-1.968746
0.028605,0.149764,-1.968745
0.028406,0.149815,-1.968744
0.028208,0.149866,-1.968743
0.028011,0.149916,-1.968742
0.027815,0.149966,-1.968741
0.027620,0.150016,-1.968740
0.027426,0.150065,-1.968739
0.027233,0.150114,-1.968738
0.027041,0.150163,-1.968736
0.026850,0.150212,-1.968735
0.026660,0.150260,-1.968734
0.026471,0.150308,-1.968733
0.026283,0.150356,-1.968732
0.026096,0.150403,-1.968731
0.025910,0.150450,-1.968730
0.025725,0.150497,-1.968729
0.025541,0.150544,-1.968727
0.025358,0.150591,-1.968726
0.025176,0.150637,-1.968725
0.024995,0.150683,-1.968724
0.024814,0.150728,-1.968723
0.024635,0.150774,-1.968721
0.024457,0.150819,-1.968720
0.024279,0.150864,-1.968719
0.024103,0.150909,-1.968718
0.023927,0.150953,-1.968716
0.023752,0.150997,-1.968715
0.023579,0.151041,-1.968714
0.023406,0.151085,-1.968713
0.023234,0.151128,-1.968711
0.023063,0.151171,-1.968710
0.022893,0.151214,-1.968709
0.022723,0.151257,-1.968707
0.022555,0.151300,-1.968706
0.022388,0.151342,-1.968705
0.022221,0.151384,-1.968703
