ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000,0.000000,0.000000
0.000807,0.000004,0.001676
0.002340,0.000011,0.004860
0.004526,0.000022,0.009399
0.007298,0.000035,0.015155
0.010597,0.000050,0.022004
0.014367,0.000068,0.029834
0.018560,0.000088,0.038541
0.023132,0.000110,0.048035
0.028042,0.000133,0.058231
0.033255,0.000158,0.069055
0.038736,0.000184,0.080437
0.044457,0.000211,0.092318
0.050391,0.000239,0.104640
0.056514,0.000269,0.117354
0.062803,0.000298,0.130413
0.069239,0.000329,0.143778
0.075804,0.000360,0.157410
0.082481,0.000392,0.171277
0.089257,0.000424,0.185347
0.096118,0.000457,0.199593
0.103051,0.000490,0.213992
0.110047,0.000523,0.228519
0.117096,0.000556,0.243155
0.124188,0.000590,0.257883
0.131316,0.000624,0.272684
0.138473,0.000658,0.287546
0.145652,0.000692,0.302453
0.152847,0.000726,0.317395
0.160054,0.000761,0.332359
0.167266,0.000795,0.347337
0.174482,0.000829,0.362320
0.181695,0.000863,0.377299
0.188904,0.000898,0.392268
0.196104,0.000932,0.407220
0.203293,0.000966,0.422149
0.210469,0.001000,0.437050
0.217630,0.001034,0.451919
0.224772,0.001068,0.466751
0.231895,0.001102,0.481542
0.238997,0.001136,0.496289
0.246076,0.001169,0.510990
0.253132,0.001203,0.525641
0.260162,0.001236,0.540240
0.267167,0.001270,0.554786
0.274145,0.001303,0.569275
0.281095,0.001336,0.583707
0.288016,0.001369,0.598080
0.294909,0.001401,0.612392
0.301771,0.001434,0.626644
0.308604,0.001466,0.640832
0.315407,0.001499,0.654958
0.322178,0.001531,0.669020
0.328919,0.001563,0.683017
0.335628,0.001595,0.696948
0.342306,0.001627,0.710815
0.348951,0.001658,0.724615
0.355565,0.001690,0.738349
0.362147,0.001721,0.752016
0.368697,0.001752,0.765617
0.375214,0.001783,0.779151
0.381699,0.001814,0.792618
0.388153,0.001844,0.806018
0.394573,0.001875,0.819351
0.400962,0.001905,0.832618
0.407318,0.001936,0.845817
0.413642,0.001966,0.858949
0.419935,0.001995,0.872015
0.426195,0.002025,0.885015
0.432423,0.002055,0.897947
0.438619,0.002084,0.910814
0.444783,0.002114,0.923615
0.450916,0.002143,0.936350
0.457017,0.002172,0.949019
0.463087,0.002201,0.961623
0.469125,0.002229,0.974162
0.475132,0.002258,0.986636
0.481108,0.002286,0.999045
0.487053,0.002314,1.011390
0.492967,0.002343,1.023670
0.498850,0.002370,1.035887
0.504703,0.002398,1.048040
0.510525,0.002426,1.060130
0.516317,0.002453,1.072157
0.522078,0.002481,1.084122
0.527810,0.002508,1.096023
0.533511,0.002535,1.107863
0.539183,0.002562,1.119641
0.544825,0.002589,1.131357
0.550438,0.002616,1.143012
0.556021,0.002642,1.154606
0.561576,0.002669,1.166140
0.567101,0.002695,1.177613
0.572597,0.002721,1.189026
0.578064,0.002747,1.200379
0.583503,0.002773,1.211673
0.588913,0.002798,1.222908
0.594295,0.002824,1.234083
0.599649,0.002849,1.245201
0.604974,0.002875,1.256260
0.610272,0.002900,1.267261
0.615542,0.002925,1.278204
0.620784,0.002950,1.289090
0.625999,0.002975,1.299919
0.631187,0.002999,1.310691
0.636347,0.003024,1.321406
0.641480,0.003048,1.332066
0.646586,0.003072,1.342669
0.651666,0.003097,1.353217
0.656719,0.003121,1.363709
0.661745,0.003145,1.374147
0.666745,0.003168,1.384530
0.671719,0.003192,1.394858
0.676666,0.003215,1.405132
0.681588,0.003239,1.415352
0.686484,0.003262,1.425518
0.691354,0.003285,1.435631
0.696199,0.003308,1.445691
0.701018,0.003331,1.455699
0.705812,0.003354,1.465653
0.710580,0.003377,1.475556
0.715324,0.003399,1.485406
0.720043,0.003422,1.495205
0.724737,0.003444,1.504953
0.729406,0.003466,1.514649
0.734051,0.003488,1.524294
0.738672,0.003510,1.533889
0.743268,0.003532,1.543433
0.747840,0.003554,1.552928
0.752388,0.003575,1.562372
0.756913,0.003597,1.571767
0.761413,0.003618,1.581112
0.765890,0.003639,1.590409
0.770343,0.003661,1.599657
0.774773,0.003682,1.608856
0.779180,0.003703,1.618007
0.783564,0.003723,1.627109
0.787924,0.003744,1.636165
