ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
6378137.000000,0.000000,0.000000
6378137.000000,0.000000,0.000000
6378137.000100,0.000100,-0.000100
6378137.000300,0.000300,-0.000300
6378137.000600,0.000600,-0.000600
6378137.001000,0.001000,-0.001000
6378137.001493,0.001501,-0.001500
6378137.002057,0.002101,-0.002099
6378137.002685,0.002802,-0.002799
6378137.003371,0.003603,-0.003598
6378137.004108,0.004504,-0.004497
6378137.004892,0.005506,-0.005496
6378137.005717,0.006608,-0.006595
6378137.006580,0.007810,-0.007793
6378137.007477,0.009113,-0.009090
6378137.008405,0.010472,-0.010487
6378137.009359,0.011872,-0.011984
6378137.010339,0.013308,-0.013581
6378137.011340,0.014778,-0.015277
6378137.012362,0.016278,-0.017072
6378137.013401,0.017806,-0.018967
6378137.014456,0.019358,-0.020962
6378137.015525,0.020932,-0.023056
6378137.016608,0.022527,-0.025250
6378137.017702,0.024140,-0.027543
6378137.018807,0.025770,-0.029936
6378137.019921,0.027415,-0.032428
6378137.021043,0.029074,-0.035020
6378137.022173,0.030746,-0.037711
6378137.023310,0.032430,-0.040502
6378137.024452,0.034124,-0.043392
6378137.025601,0.035828,-0.046382
6378137.026754,0.037541,-0.049471
6378137.027911,0.039262,-0.052660
6378137.029072,0.040991,-0.055948
6378137.030237,0.042727,-0.059336
6378137.031405,0.044470,-0.062823
6378137.032575,0.046219,-0.066410
6378137.033749,0.047974,-0.070096
6378137.034924,0.049734,-0.073882
6378137.036101,0.051500,-0.077767
6378137.037280,0.053270,-0.081752
6378137.038461,0.055045,-0.085837
6378137.039642,0.056825,-0.090021
6378137.040825,0.058609,-0.094304
6378137.042010,0.060397,-0.098687
6378137.043195,0.062189,-0.103169
6378137.044381,0.063984,-0.107752
6378137.045567,0.065784,-0.112433
6378137.046754,0.067587,-0.117214
6378137.047942,0.069393,-0.122095
6378137.049130,0.071204,-0.127075
6378137.050319,0.073017,-0.132155
6378137.051508,0.074834,-0.137334
6378137.052697,0.076654,-0.142613
6378137.053886,0.078478,-0.147991
6378137.055075,0.080304,-0.153469
6378137.056265,0.082135,-0.159046
6378137.057455,0.083968,-0.164723
6378137.058645,0.085804,-0.170500
6378137.059834,0.087644,-0.176376
