gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
6378144.116575,-6.336494,0.039779,0.014738,-0.015511,0.014777
6378139.108253,-2.101555,6.830791,0.068530,0.093849,-0.915251
6378142.995178,3.615682,-1.228320,0.002401,0.172086,-1.864428
6378142.629586,-4.134500,5.036817,0.024854,0.114319,-1.790571
6378128.185790,1.659862,-1.949697,-0.039095,0.099797,-1.853599
6378136.399237,-7.051991,-0.963933,-0.030540,0.162341,-1.826655
6378133.868222,4.187901,-13.245616,-0.017709,0.110933,-1.953862
6378133.303726,5.307227,-19.110558,-0.009715,0.151186,-1.868715
6378138.031705,7.626962,-14.008906,-0.008496,0.190811,-1.928421
6378131.651985,8.987332,-4.801794,0.020154,0.112849,-1.905249
6378135.736982,-0.069926,-15.483244,-0.029016,0.116988,-1.826760
6378137.106387,-0.571431,-21.047371,0.000221,0.150248,-1.806343
6378125.088560,5.346772,-14.575541,-0.100572,0.180652,-1.943687
6378130.612633,2.370849,-20.054215,-0.070489,0.112588,-1.888652
6378140.748382,-0.093919,-21.190290,-0.030438,0.131173,-1.873513
6378138.179942,3.697915,-31.171323,-0.014607,0.283882,-1.799740
6378130.466962,-4.198781,-23.568783,0.069529,0.436795,-1.957005
6378144.175585,6.138378,-30.594588,0.104050,0.749492,-1.778436
6378132.347613,0.893663,-35.030561,0.126049,0.853267,-1.772255
6378133.604872,11.683913,-35.110280,0.100399,1.025422,-1.719714
6378129.654970,9.040265,-38.990653,0.221815,1.362551,-1.641935
6378137.600166,-6.419376,-33.864714,0.079289,1.476025,-1.557257
6378131.014045,5.175228,-36.484333,0.193741,1.662591,-1.647714
6378140.039857,12.799523,-33.219815,0.039924,1.883349,-1.499439
6378140.982090,15.788324,-41.640222,0.092103,2.066498,-1.526454
6378139.144565,20.421049,-35.028631,-0.192275,2.840252,-2.028315
6378132.023089,14.597421,-44.638218,-0.928048,2.946826,-2.640725
6378135.664873,17.215765,-41.899777,-1.074958,3.040540,-2.525354
6378129.875815,24.321672,-50.341490,-1.175255,3.056692,-2.518593
6378137.570016,32.058154,-37.570905,-1.217568,2.916284,-2.505524
6378132.214962,30.385520,-48.668778,-1.262712,2.950416,-2.498891
6378136.373827,37.067905,-61.751109,-1.192602,2.914533,-2.470801
6378127.875155,38.761666,-51.924075,-1.242493,3.038146,-2.516743
6378121.971985,41.817017,-60.539809,-1.363808,3.032594,-2.460858
6378125.002413,35.576093,-62.355655,-1.284499,2.989055,-2.405658
6378127.599315,34.307017,-66.831968,-1.341671,2.922896,-2.518142
6378131.106252,45.109119,-66.345583,-1.227395,3.110136,-2.516128
6378120.149763,55.484373,-80.291322,-1.212961,2.981451,-2.432167
6378125.294840,53.688238,-59.286096,-1.306087,2.918854,-2.440505
6378121.307323,56.700763,-71.380922,-1.365378,2.962970,-2.526629
6378118.714892,49.034842,-91.695419,-1.446305,2.955860,-2.355656
6378122.017573,58.293932,-82.177044,-1.358778,3.110611,-2.124727
6378123.992103,63.589533,-86.386567,-1.385272,3.266694,-2.064610
6378108.609306,68.058990,-88.260485,-1.168135,3.287125,-2.063152
6378116.318894,81.083450,-89.291835,-1.048073,3.253572,-2.012094
6378120.498252,73.609322,-92.756062,-0.685197,3.061795,-2.234707
6378114.087025,74.243463,-98.580344,-0.468849,2.989065,-2.527111
6378113.757220,77.498195,-82.378969,-0.149390,2.672384,-2.803585
6378116.678066,80.240691,-98.277213,-0.072739,2.367176,-3.049044
6378117.785980,85.989189,-129.814708,0.075495,1.953335,-3.508459
6378114.239049,88.982109,-118.495023,0.174146,2.232092,-3.416629
6378109.920094,99.413090,-114.248523,-0.461660,2.908939,-3.658507
6378112.853886,99.027663,-117.345868,-0.934852,3.706917,-3.824086
6378110.912376,95.759888,-122.094649,-1.019104,3.613485,-3.861323
6378109.971999,98.922781,-115.262471,-1.134029,3.563561,-3.780608
6378112.412379,110.917735,-135.428495,-1.002378,3.645267,-3.790645
6378107.443371,102.015830,-134.399555,-1.039606,3.614131,-3.869844
6378113.788087,123.153225,-134.910132,-1.083801,3.650230,-3.841052
6378100.618696,122.527286,-134.597526,-1.119426,3.644427,-3.813664
6378109.039874,123.696940,-134.964716,-1.077303,3.606861,-3.878060
