ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
27.652757,0.000000,-16.617507
27.652892,-0.001652,-16.617282
27.653149,-0.004928,-16.616853
27.653515,-0.009804,-16.616242
27.653979,-0.016258,-16.615466
27.654528,-0.024270,-16.614542
27.655153,-0.033821,-16.613484
27.655845,-0.044896,-16.612306
27.656595,-0.057441,-16.611019
27.657395,-0.071301,-16.609634
27.658236,-0.086339,-16.608161
27.659114,-0.102430,-16.606609
27.660020,-0.119459,-16.604984
27.660951,-0.137324,-16.603296
27.661901,-0.155933,-16.601549
27.662866,-0.175202,-16.599750
27.663840,-0.195056,-16.597903
27.664822,-0.215425,-16.596015
27.665808,-0.236248,-16.594089
27.666794,-0.257469,-16.592129
27.667779,-0.279037,-16.590138
27.668759,-0.300908,-16.588120
27.669733,-0.323038,-16.586079
27.670700,-0.345393,-16.584016
27.671657,-0.367937,-16.581933
27.672604,-0.390641,-16.579834
27.673538,-0.413476,-16.577721
27.674460,-0.436419,-16.575594
27.675368,-0.459447,-16.573456
27.676261,-0.482540,-16.571308
27.677138,-0.505680,-16.569152
27.678000,-0.528850,-16.566989
27.678846,-0.552036,-16.564820
27.679675,-0.575224,-16.562646
27.680486,-0.598402,-16.560468
27.681281,-0.621561,-16.558287
27.682058,-0.644689,-16.556103
27.682817,-0.667779,-16.553919
27.683559,-0.690823,-16.551733
27.684282,-0.713813,-16.549547
27.684988,-0.736744,-16.547361
27.685676,-0.759609,-16.545176
27.686346,-0.782404,-16.542992
27.686999,-0.805125,-16.540809
27.687634,-0.827766,-16.538629
27.688251,-0.850326,-16.536451
27.688850,-0.872800,-16.534276
27.689433,-0.895186,-16.532104
27.689998,-0.917481,-16.529935
27.690546,-0.939684,-16.527770
27.691077,-0.961791,-16.525608
27.691591,-0.983802,-16.523451
27.692089,-1.005716,-16.521297
27.692570,-1.027530,-16.519148
27.693035,-1.049244,-16.517003
27.693484,-1.070856,-16.514863
27.693917,-1.092367,-16.512728
27.694335,-1.113775,-16.510598
27.694737,-1.135080,-16.508472
27.695123,-1.156281,-16.506352
27.695495,-1.177378,-16.504237
27.695852,-1.198372,-16.502128
27.696194,-1.219260,-16.500023
27.696521,-1.240045,-16.497925
27.696834,-1.260724,-16.495832
27.697133,-1.281300,-16.493744
27.697418,-1.301771,-16.491662
27.697690,-1.322137,-16.489586
27.697947,-1.342399,-16.487516
27.698192,-1.362558,-16.485452
27.698423,-1.382612,-16.483393
27.698641,-1.402564,-16.481341
27.698847,-1.422411,-16.479295
27.699040,-1.442156,-16.477254
27.699220,-1.461799,-16.475220
27.699388,-1.481339,-16.473192
27.699544,-1.500777,-16.471169
27.699689,-1.520114,-16.469154
27.699821,-1.539350,-16.467144
27.699942,-1.558485,-16.465140
27.700052,-1.577519,-16.463143
27.700150,-1.596454,-16.461152
27.700238,-1.615289,-16.459167
27.700314,-1.634026,-16.457189
27.700380,-1.652663,-16.455217
27.700435,-1.671203,-16.453251
27.700480,-1.689645,-16.451292
27.700515,-1.707990,-16.449339
27.700540,-1.726238,-16.447392
27.700555,-1.744389,-16.445452
27.700560,-1.762445,-16.443518
27.700555,-1.780406,-16.441591
27.700541,-1.798271,-16.439670
27.700518,-1.816043,-16.437755
27.700486,-1.833720,-16.435847
27.700444,-1.851304,-16.433946
27.700394,-1.868795,-16.432050
27.700335,-1.886193,-16.430162
27.700268,-1.903499,-16.428279
27.700192,-1.920714,-16.426404
27.700108,-1.937837,-16.424534
27.700015,-1.954870,-16.422672
27.699915,-1.971813,-16.420815
27.699807,-1.988665,-16.418966
27.699691,-2.005429,-16.417122
27.699567,-2.022104,-16.415286
27.699436,-2.038691,-16.413455
27.699297,-2.055189,-16.411632
27.699151,-2.071600,-16.409814
27.698998,-2.087925,-16.408004
27.698838,-2.104162,-16.406199
27.698671,-2.120314,-16.404402
27.698497,-2.136380,-16.402610
27.698317,-2.152361,-16.400826
27.698130,-2.168258,-16.399047
27.697937,-2.184070,-16.397276
27.697737,-2.199798,-16.395510
27.697531,-2.215443,-16.393752
27.697319,-2.231005,-16.391999
27.697101,-2.246484,-16.390253
27.696877,-2.261881,-16.388514
27.696648,-2.277197,-16.386781
27.696412,-2.292432,-16.385055
27.696171,-2.307586,-16.383335
27.695925,-2.322659,-16.381621
27.695673,-2.337653,-16.379914
27.695416,-2.352567,-16.378214
27.695154,-2.367402,-16.376520
27.694886,-2.382158,-16.374832
27.694614,-2.396836,-16.373151
27.694336,-2.411436,-16.371476
27.694054,-2.425959,-16.369807
27.693768,-2.440405,-16.368145
27.693476,-2.454775,-16.366489
27.693180,-2.469068,-16.364840
27.692880,-2.483285,-16.363197
27.692575,-2.497427,-16.361561
27.692266,-2.511494,-16.359931
27.691952,-2.525487,-16.358307
27.691635,-2.539405,-16.356689
27.691314,-2.553249,-16.355078
27.690988,-2.567021,-16.353473
27.690659,-2.580719,-16.351875
27.690326,-2.594344,-16.350283
27.689989,-2.607897,-16.348697
27.689649,-2.621379,-16.347117
27.689305,-2.634789,-16.345544
27.688957,-2.648128,-16.343977
27.688606,-2.661396,-16.342416
27.688252,-2.674594,-16.340861
27.687895,-2.687722,-16.339313
27.687534,-2.700780,-16.337771
27.687170,-2.713769,-16.336235
27.686803,-2.726689,-16.334705
27.686434,-2.739541,-16.333182
27.686061,-2.752325,-16.331664
27.685685,-2.765041,-16.330153
27.685307,-2.777689,-16.328648
27.684926,-2.790271,-16.327149
27.684542,-2.802786,-16.325656
27.684156,-2.815234,-16.324169
27.683767,-2.827617,-16.322688
27.683375,-2.839934,-16.321214
27.682981,-2.852185,-16.319745
27.682585,-2.864372,-16.318283
27.682187,-2.876494,-16.316826
27.681786,-2.888552,-16.315376
27.681383,-2.900546,-16.313932
27.680978,-2.912476,-16.312493
27.680571,-2.924344,-16.311061
27.680162,-2.936148,-16.309634
27.679751,-2.947890,-16.308214
27.679338,-2.959569,-16.306799
27.678923,-2.971187,-16.305391
27.678507,-2.982743,-16.303988
27.678088,-2.994238,-16.302591
27.677668,-3.005672,-16.301200
27.677247,-3.017046,-16.299815
27.676823,-3.028359,-16.298436
27.676399,-3.039612,-16.297062
27.675972,-3.050806,-16.295695
27.675544,-3.061940,-16.294333
27.675115,-3.073015,-16.292977
27.674685,-3.084032,-16.291626
27.674253,-3.094991,-16.290282
27.673819,-3.105891,-16.288943
27.673385,-3.116733,-16.287610
27.672949,-3.127519,-16.286283
27.672513,-3.138247,-16.284961
27.672075,-3.148918,-16.283645
27.671636,-3.159533,-16.282335
27.671196,-3.170091,-16.281030
27.670755,-3.180594,-16.279731
27.670313,-3.191041,-16.278438
27.669871,-3.201432,-16.277150
27.669427,-3.211769,-16.275867
27.668983,-3.222051,-16.274591
27.668537,-3.232278,-16.273320
27.668091,-3.242451,-16.272054
27.667645,-3.252571,-16.270794
27.667197,-3.262636,-16.269539
27.666749,-3.272649,-16.268290
27.666301,-3.282608,-16.267046
27.665852,-3.292515,-16.265808
27.665402,-3.302370,-16.264575
27.664952,-3.312172,-16.263348
27.664501,-3.321922,-16.262126
27.664050,-3.331621,-16.260909
27.663598,-3.341268,-16.259698
27.663146,-3.350864,-16.258492
27.662694,-3.360409,-16.257291
27.662241,-3.369904,-16.256096
