gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
0.148956,0.234839,0.306425
0.254961,0.497125,0.599903
0.350654,0.743021,0.829833
0.421207,0.956381,1.129045
0.520423,1.114629,1.414949
0.526192,1.245083,1.714849
0.552581,1.398470,1.985580
0.622890,1.560620,2.215966
0.702825,1.632464,2.494678
0.788829,1.774991,2.636484
0.837592,1.847094,2.843549
0.829866,1.891653,2.978855
0.898059,1.930119,3.066240
0.933891,2.076896,3.221036
0.917473,2.167166,3.296690
1.031454,2.092093,3.440275
0.937958,2.261934,3.516534
1.021191,2.260026,3.560772
0.982629,2.283910,3.651011
0.989785,2.327713,3.673696
0.973212,2.275840,3.767291
1.047273,2.300994,3.767464
1.107280,2.427124,3.858840
1.008299,2.396436,3.782434
1.016349,2.364383,3.884836
0.991692,2.410114,3.953667
1.044942,2.448072,3.904314
0.963282,2.464061,3.987707
1.012167,2.466735,3.970007
1.062518,2.408010,4.049160
0.954625,2.417281,3.914458
0.952199,2.378903,3.964766
1.014922,2.509238,3.952743
0.992046,2.403951,3.968834
0.972942,2.482178,3.949331
1.012405,2.402599,3.991923
1.018823,2.406116,4.040614
0.962815,2.399595,3.928297
0.991683,2.422308,3.899819
1.016296,2.464027,3.978402
1.021014,2.397041,3.933595
1.001764,2.323606,3.839415
0.951177,2.388235,3.908140
0.972615,2.408594,3.826257
0.994897,2.361799,3.894934
0.967623,2.350380,3.857815
0.920760,2.326415,3.816815
0.877942,2.353083,3.758103
0.977897,2.284115,3.857460
0.935003,2.328218,3.809601
0.924704,2.278510,3.773539
0.878533,2.328502,3.762456
0.897369,2.306986,3.746870
0.913969,2.315885,3.658237
0.889206,2.309912,3.709282
0.888444,2.274722,3.694322
0.928771,2.296559,3.670067
0.934456,2.174993,3.725454
0.872227,2.211604,3.642436
0.880829,2.238642,3.559987
0.900551,2.129361,3.645056
0.821616,2.181840,3.569888
0.806687,2.207670,3.544901
0.827073,2.135012,3.551089
0.806344,2.110545,3.507183
0.774557,2.166084,3.504698
0.865379,2.088091,3.472338
0.909886,2.127566,3.501043
0.780523,2.160958,3.407582
0.741585,2.085049,3.368207
0.732693,2.105624,3.417040
0.808151,2.081760,3.384911
0.798945,2.066749,3.305168
0.768749,2.048580,3.436902
0.819183,2.024154,3.293595
0.757539,2.061076,3.309915
0.776369,2.053125,3.309830
0.817174,2.033109,3.273185
0.735281,2.001426,3.229428
0.774760,2.016677,3.221561
0.741465,1.947396,3.294233
0.721926,1.981424,3.140418
0.793574,1.948772,3.216669
0.773037,1.884683,3.190278
0.725275,1.934284,3.076648
0.824823,1.949071,3.132317
0.741280,1.969621,3.129516
0.785459,1.845169,3.050301
0.713004,1.922771,3.162458
0.704120,1.923950,3.135531
0.663570,1.920534,3.098886
0.628288,1.871833,3.095777
0.710529,1.842343,3.038126
0.641491,1.861058,3.051691
0.670588,1.872372,2.977819
0.771593,1.856522,2.979322
0.738200,1.879891,2.927678
0.641196,1.818819,2.898832
0.663052,1.862928,2.993989
0.717210,1.871227,2.832552
0.669453,1.830453,2.967042
0.638529,1.790193,2.928698
0.704075,1.853933,2.824225
0.609959,1.782324,2.876836
0.669278,1.755899,2.851572
0.670151,1.794226,2.885847
0.582305,1.769031,2.815041
0.660422,1.766612,2.819816
0.629704,1.732664,2.741553
0.599662,1.749257,2.782407
0.604003,1.866438,2.778153
0.582797,1.702964,2.800005
0.579467,1.673097,2.676325
0.592379,1.743725,2.676767
