q0 (),q1,q2,q3
1.000000,0.000000,0.000000,0.000000
1.000000,0.000010,0.000024,0.000025
1.000000,0.000030,0.000068,0.000075
1.000000,0.000057,0.000132,0.000150
1.000000,0.000092,0.000213,0.000250
1.000000,0.000134,0.000309,0.000375
1.000000,0.000182,0.000419,0.000525
1.000000,0.000234,0.000541,0.000698
0.999999,0.000292,0.000675,0.000893
0.999999,0.000354,0.000818,0.001107
0.999999,0.000419,0.000970,0.001337
0.999998,0.000488,0.001131,0.001583
0.999997,0.000560,0.001298,0.001842
0.999996,0.000634,0.001471,0.002113
0.999996,0.000711,0.001650,0.002395
0.999994,0.000790,0.001834,0.002686
0.999993,0.000870,0.002022,0.002986
0.999992,0.000952,0.002214,0.003293
0.999990,0.001035,0.002409,0.003606
0.999988,0.001119,0.002608,0.003925
0.999986,0.001204,0.002809,0.004249
0.999984,0.001290,0.003012,0.004578
0.999982,0.001376,0.003216,0.004910
0.999979,0.001463,0.003423,0.005245
0.999977,0.001551,0.003631,0.005582
0.999974,0.001638,0.003840,0.005922
0.999971,0.001726,0.004050,0.006264
0.999967,0.001814,0.004260,0.006607
0.999964,0.001902,0.004471,0.006951
0.999960,0.001991,0.004683,0.007297
0.999957,0.002079,0.004895,0.007642
0.999953,0.002166,0.005106,0.007988
0.999949,0.002254,0.005318,0.008335
0.999944,0.002342,0.005530,0.008681
0.999940,0.002429,0.005742,0.009027
0.999935,0.002516,0.005953,0.009372
0.999930,0.002603,0.006164,0.009717
0.999925,0.002689,0.006375,0.010062
0.999920,0.002775,0.006585,0.010405
0.999915,0.002861,0.006795,0.010748
0.999910,0.002946,0.007004,0.011090
0.999904,0.003030,0.007212,0.011431
0.999898,0.003115,0.007420,0.011771
0.999892,0.003199,0.007627,0.012109
0.999886,0.003282,0.007834,0.012446
0.999880,0.003365,0.008039,0.012783
0.999874,0.003448,0.008244,0.013117
0.999868,0.003530,0.008449,0.013451
0.999861,0.003611,0.008652,0.013783
0.999854,0.003692,0.008855,0.014113
0.999848,0.003773,0.009056,0.014442
0.999841,0.003853,0.009257,0.014770
0.999834,0.003933,0.009457,0.015096
0.999826,0.004012,0.009656,0.015421
0.999819,0.004091,0.009855,0.015744
0.999812,0.004169,0.010052,0.016066
0.999804,0.004246,0.010249,0.016386
0.999797,0.004323,0.010444,0.016704
0.999789,0.004400,0.010639,0.017021
0.999781,0.004476,0.010833,0.017337
0.999773,0.004552,0.011026,0.017651
0.999765,0.004627,0.011218,0.017963
0.999757,0.004702,0.011409,0.018274
0.999749,0.004776,0.011599,0.018583
0.999740,0.004849,0.011788,0.018890
0.999732,0.004923,0.011977,0.019196
0.999723,0.004995,0.012164,0.019501
0.999715,0.005068,0.012351,0.019803
0.999706,0.005139,0.012536,0.020105
0.999697,0.005210,0.012721,0.020404
0.999688,0.005281,0.012905,0.020703
0.999680,0.005352,0.013088,0.020999
0.999670,0.005421,0.013270,0.021294
0.999661,0.005491,0.013451,0.021588
0.999652,0.005560,0.013631,0.021879
0.999643,0.005628,0.013811,0.022170
0.999634,0.005696,0.013989,0.022459
0.999624,0.005764,0.014167,0.022746
0.999615,0.005831,0.014343,0.023032
0.999605,0.005897,0.014519,0.023316
0.999596,0.005963,0.014694,0.023599
0.999586,0.006029,0.014868,0.023880
0.999576,0.006094,0.015042,0.024160
0.999567,0.006159,0.015214,0.024438
0.999557,0.006224,0.015385,0.024715
0.999547,0.006288,0.015556,0.024991
0.999537,0.006351,0.015726,0.025264
0.999527,0.006414,0.015895,0.025537
0.999517,0.006477,0.016063,0.025808
0.999507,0.006539,0.016230,0.026077
0.999497,0.006601,0.016396,0.026346
0.999486,0.006663,0.016562,0.026612
0.999476,0.006724,0.016727,0.026877
0.999466,0.006784,0.016891,0.027141
0.999456,0.006845,0.017054,0.027404
0.999445,0.006905,0.017216,0.027665
0.999435,0.006964,0.017377,0.027924
0.999424,0.007023,0.017538,0.028183
0.999414,0.007082,0.017698,0.028440
0.999403,0.007140,0.017857,0.028695
0.999393,0.007198,0.018015,0.028949
0.999382,0.007255,0.018172,0.029202
0.999371,0.007312,0.018329,0.029453
0.999361,0.007369,0.018485,0.029703
0.999350,0.007426,0.018640,0.029952
0.999339,0.007482,0.018794,0.030200
0.999328,0.007537,0.018948,0.030446
0.999318,0.007592,0.019100,0.030691
0.999307,0.007647,0.019252,0.030934
0.999296,0.007702,0.019403,0.031176
0.999285,0.007756,0.019554,0.031417
0.999274,0.007810,0.019703,0.031657
0.999263,0.007863,0.019852,0.031895
0.999252,0.007916,0.020000,0.032132
0.999241,0.007969,0.020147,0.032368
0.999230,0.008021,0.020294,0.032602
0.999219,0.008074,0.020440,0.032836
0.999208,0.008125,0.020585,0.033068
0.999197,0.008177,0.020729,0.033299
0.999186,0.008228,0.020873,0.033528
0.999175,0.008278,0.021016,0.033756
0.999164,0.008329,0.021158,0.033984
0.999153,0.008379,0.021300,0.034209
0.999141,0.008428,0.021440,0.034434
0.999130,0.008478,0.021580,0.034658
0.999119,0.008527,0.021720,0.034880
0.999108,0.008576,0.021858,0.035101
0.999097,0.008624,0.021996,0.035321
0.999085,0.008672,0.022133,0.035540
0.999074,0.008720,0.022270,0.035757
0.999063,0.008768,0.022406,0.035974
0.999052,0.008815,0.022541,0.036189
0.999041,0.008862,0.022675,0.036403
0.999029,0.008908,0.022809,0.036616
0.999018,0.008954,0.022942,0.036828
0.999007,0.009000,0.023074,0.037039
0.998996,0.009046,0.023206,0.037248
0.998984,0.009092,0.023337,0.037457
0.998973,0.009137,0.023467,0.037664
0.998962,0.009181,0.023597,0.037870
0.998951,0.009226,0.023726,0.038076
0.998939,0.009270,0.023855,0.038280
0.998928,0.009314,0.023982,0.038483
0.998917,0.009358,0.024109,0.038685
0.998905,0.009401,0.024236,0.038885
0.998894,0.009444,0.024362,0.039085
0.998883,0.009487,0.024487,0.039284
0.998872,0.009530,0.024611,0.039481
0.998860,0.009572,0.024735,0.039678
0.998849,0.009614,0.024858,0.039874
0.998838,0.009656,0.024981,0.040068
