ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
6378137.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6378137.015393,0.133538,-0.494345,-0.009907,0.157972,-0.998283
6378136.962154,0.304626,-1.982656,-0.097462,0.183648,-1.910139
6378136.847229,0.491643,-3.891473,-0.129926,0.189685,-1.907615
6378136.706911,0.682929,-5.798184,-0.149232,0.192581,-1.905912
6378136.551518,0.876319,-7.703518,-0.160675,0.194056,-1.904832
6378136.387196,1.070806,-9.607994,-0.167447,0.194846,-1.904168
6378136.217592,1.265889,-11.511946,-0.171452,0.195284,-1.903766
6378136.044866,1.461308,-13.415583,-0.173819,0.195532,-1.903526
6378135.870293,1.656918,-15.319032,-0.175218,0.195676,-1.903383
6378135.694630,1.852639,-17.222370,-0.176045,0.195759,-1.903298
6378135.518322,2.048424,-19.125641,-0.176533,0.195808,-1.903248
6378135.341634,2.244248,-21.028873,-0.176822,0.195837,-1.903218
6378135.164720,2.440094,-22.932082,-0.176992,0.195854,-1.903201
6378134.987674,2.635953,-24.835277,-0.177093,0.195864,-1.903190
6378134.815389,2.870582,-26.722933,-0.158888,0.353830,-1.837742
6378134.665183,3.381121,-28.480828,-0.146830,0.666297,-1.669344
6378134.512228,4.190746,-30.050339,-0.163297,0.950551,-1.461457
6378134.332257,5.268235,-31.394641,-0.199529,1.200938,-1.219544
6378134.110124,6.577869,-32.482650,-0.246136,1.414096,-0.949641
6378133.840177,8.081686,-33.289574,-0.293591,1.588927,-0.658284
6378133.526157,9.741729,-33.797357,-0.332725,1.726534,-0.352397
6378133.180611,11.522171,-33.995018,-0.355174,1.830068,-0.039180
6378132.823876,13.391251,-33.878858,-0.353794,1.904479,0.274012
6378132.482686,15.322919,-33.452560,-0.323006,1.956193,0.579794
6378132.129078,17.520475,-32.789057,-0.449418,2.742747,0.551642
6378131.281694,20.479944,-32.397346,-1.141524,3.107758,0.293952
6378130.120779,23.577333,-32.072249,-1.177005,3.088477,0.351590
6378128.933238,26.659639,-31.702592,-1.196386,3.077017,0.385062
6378127.730945,29.733005,-31.306980,-1.207291,3.070240,0.404623
6378126.520273,32.801089,-30.896168,-1.213545,3.066238,0.416103
6378125.304770,35.866054,-30.476426,-1.217173,3.063874,0.422857
6378124.086453,38.929176,-30.051424,-1.219294,3.062479,0.426838
6378122.866487,41.991211,-29.623321,-1.220539,3.061654,0.429186
6378121.645553,45.052603,-29.193389,-1.221272,3.061168,0.430572
6378120.424048,48.113616,-28.762375,-1.221704,3.060880,0.431391
6378119.202207,51.174405,-28.330724,-1.221959,3.060710,0.431874
6378117.980167,54.235061,-27.898696,-1.222109,3.060610,0.432160
6378116.758009,57.295638,-27.466446,-1.222198,3.060550,0.432328
6378115.535783,60.356170,-27.034064,-1.222251,3.060515,0.432428
6378114.254468,63.427899,-26.638631,-1.368954,3.089619,0.331317
6378112.785778,66.537161,-26.403799,-1.576685,3.127654,0.119901
6378111.090396,69.674369,-26.428834,-1.822830,3.139852,-0.189165
6378109.132077,72.797549,-26.809885,-2.100444,3.093722,-0.592003
6378106.888994,75.833577,-27.636749,-2.387632,2.960524,-1.079761
6378104.367864,78.684910,-28.987991,-2.649606,2.721175,-1.638827
6378101.614931,81.241772,-30.926368,-2.842867,2.371125,-2.251234
6378098.721885,83.398418,-33.494748,-2.921073,1.923517,-2.895250
6378095.825371,85.071471,-36.712705,-2.841883,1.410064,-3.546126
6378093.099496,86.217881,-40.573933,-2.573946,0.879389,-4.176989
6378090.317024,86.758617,-44.537976,-3.093094,0.261162,-3.804055
6378086.901439,86.744332,-48.311116,-3.750456,-0.306079,-3.747107
6378082.915316,86.254887,-52.041346,-4.068274,-0.494628,-3.716574
6378078.832860,85.809057,-55.748427,-4.094378,-0.404002,-3.698822
6378074.730506,85.433940,-59.441413,-4.109106,-0.350368,-3.687943
6378070.616829,85.100654,-63.125829,-4.117564,-0.318651,-3.681381
6378066.496615,84.792100,-66.805099,-4.122475,-0.299904,-3.677456
6378062.372591,84.498163,-70.481299,-4.125347,-0.288826,-3.675122
6378058.246334,84.212864,-74.155675,-4.127034,-0.282279,-3.673737
6378054.118765,83.932668,-77.828970,-4.128027,-0.278412,-3.672917
6378049.990424,83.655487,-81.501625,-4.128612,-0.276127,-3.672431
6378045.861626,83.380088,-85.173902,-4.128957,-0.274776,-3.672144
6378041.732559,83.105741,-88.845955,-4.129161,-0.273979,-3.671975
6378037.603334,82.832016,-92.517875,-4.129281,-0.273508,-3.671874
6378033.583362,82.581609,-96.367070,-3.803298,-0.207372,-4.174594
6378030.084245,82.430505,-100.901372,-3.149900,-0.084878,-4.898236
6378027.351334,82.436538,-106.134819,-2.271396,0.116815,-5.556358
6378025.595487,82.706708,-111.954834,-1.202881,0.454095,-6.054317
6378024.973747,83.402549,-118.157078,-0.017173,0.976999,-6.304969
6378025.553150,84.726113,-124.457783,1.179547,1.713827,-6.238283
6378027.282519,86.891392,-130.515073,2.259291,2.657964,-5.809516
6378029.978853,90.084892,-135.957352,3.089597,3.759844,-5.005021
6378033.332857,94.421642,-140.416061,3.553998,4.926191,-3.845038
6378036.935119,99.904487,-143.559553,3.572254,6.027468,-2.383108
6378040.545531,106.387109,-145.719627,3.577612,6.772617,-2.346238
6378044.006972,113.332123,-148.395369,3.362536,7.110291,-3.036663
