mag_x (uT),mag_y (uT),mag_z (uT)
27.632928,-0.004723,-16.614490
27.637525,0.004970,-16.608415
27.648065,-0.013669,-16.610298
27.641297,-0.010089,-16.606215
27.661077,-0.018358,-16.617026
27.654012,-0.033920,-16.601570
27.661015,-0.040852,-16.611947
27.673562,-0.047646,-16.624649
27.650362,-0.068075,-16.590426
27.669843,-0.083269,-16.595985
27.647985,-0.120757,-16.592185
27.668077,-0.112150,-16.602396
27.680464,-0.144125,-16.587060
27.660221,-0.151362,-16.589110
27.665043,-0.178445,-16.601792
27.680241,-0.216328,-16.578053
27.669156,-0.221486,-16.552932
27.691079,-0.224721,-16.578648
27.673195,-0.249988,-16.568266
27.691185,-0.277131,-16.560333
27.672464,-0.306102,-16.547755
27.694115,-0.327664,-16.540354
27.683675,-0.343113,-16.529517
27.706432,-0.365041,-16.542015
27.724112,-0.398079,-16.523478
27.699640,-0.439541,-16.502992
27.695377,-0.427125,-16.522538
27.713759,-0.467794,-16.512123
27.708401,-0.481056,-16.498824
27.726221,-0.529052,-16.506394
27.707407,-0.547807,-16.522345
27.719147,-0.573383,-16.498819
27.723253,-0.580971,-16.488145
27.731009,-0.599890,-16.486305
27.716662,-0.630502,-16.492132
27.729262,-0.660247,-16.474244
27.750018,-0.664177,-16.479702
27.743733,-0.705227,-16.485800
27.712180,-0.727197,-16.461039
27.734880,-0.749192,-16.446915
27.750904,-0.783664,-16.463315
27.753506,-0.787824,-16.459418
27.776132,-0.829091,-16.440091
27.752229,-0.838374,-16.435596
27.730761,-0.886619,-16.440936
27.771397,-0.895868,-16.415672
27.767359,-0.903115,-16.423960
27.757411,-0.930459,-16.414898
27.752957,-0.950342,-16.417677
27.760081,-0.965029,-16.386781
27.766329,-0.991942,-16.398641
27.750514,-1.028564,-16.404006
27.772467,-1.032185,-16.390620
27.785720,-1.070073,-16.376284
27.793906,-1.082380,-16.368451
27.783535,-1.103200,-16.368611
27.785478,-1.122633,-16.350654
27.780712,-1.154898,-16.349584
27.764339,-1.173616,-16.345378
27.796714,-1.181364,-16.347728
27.777733,-1.212696,-16.340368
27.801719,-1.220890,-16.349078
27.788384,-1.248758,-16.346037
27.802812,-1.272111,-16.349613
27.777842,-1.280808,-16.346852
27.797973,-1.342643,-16.327493
27.799358,-1.338556,-16.318470
27.798330,-1.356602,-16.305900
27.799454,-1.353379,-16.301756
27.807100,-1.386214,-16.294507
27.799682,-1.432690,-16.290946
27.796926,-1.444945,-16.303435
27.811083,-1.458238,-16.292532
27.817148,-1.475777,-16.289768
27.815037,-1.494616,-16.272260
27.809006,-1.527010,-16.272157
27.811195,-1.544868,-16.266511
27.817615,-1.574645,-16.233081
27.826435,-1.582252,-16.274678
27.814371,-1.597352,-16.240075
27.840858,-1.614771,-16.255371
27.835193,-1.645608,-16.223710
27.838525,-1.657950,-16.228285
27.854473,-1.662066,-16.238129
27.816443,-1.681114,-16.237498
27.828593,-1.704048,-16.229337
27.841383,-1.736110,-16.222258
27.845837,-1.753883,-16.211009
27.830747,-1.760810,-16.205205
27.842937,-1.779260,-16.207008
27.845503,-1.791209,-16.191308
27.831258,-1.821231,-16.202404
27.847610,-1.822340,-16.172691
27.850244,-1.856181,-16.218367
27.850487,-1.876353,-16.190133
27.856223,-1.892347,-16.171375
27.861884,-1.889743,-16.160471
27.857249,-1.915132,-16.157196
27.859414,-1.945351,-16.156056
27.857491,-1.963379,-16.166845
27.855241,-1.966179,-16.145640
27.844185,-1.984518,-16.134406
27.862013,-2.013522,-16.149692
27.864750,-2.013227,-16.131837
27.874204,-2.044355,-16.134440
27.850050,-2.054871,-16.122225
27.864353,-2.060313,-16.116310
27.870228,-2.091492,-16.117823
27.883688,-2.108710,-16.116402
27.859930,-2.114970,-16.118506
27.907926,-2.143359,-16.108098
27.872412,-2.146618,-16.104958
27.878030,-2.169563,-16.080428
27.868487,-2.187527,-16.098622
27.880245,-2.183333,-16.071385
27.893274,-2.209925,-16.087900
27.884696,-2.240185,-16.058859
27.881322,-2.234262,-16.089376
27.889214,-2.251437,-16.062632
27.864484,-2.266379,-16.049509
27.865310,-2.274740,-16.046668
27.894393,-2.303013,-16.053160
27.881389,-2.327502,-16.048151
27.890745,-2.332216,-16.053813
27.906480,-2.341678,-16.037401
27.907860,-2.356524,-16.045655
27.893918,-2.371501,-16.026517
27.896386,-2.401077,-16.042787
27.900772,-2.413242,-16.029957
27.898522,-2.425568,-16.025143
27.895015,-2.443404,-16.012539
27.892139,-2.462595,-16.022535
27.916799,-2.461647,-16.002986
27.912451,-2.480636,-15.988312
27.888780,-2.479095,-15.999430
27.905714,-2.516399,-15.976800
27.921874,-2.510780,-15.997550
27.931691,-2.524263,-15.981046
27.898180,-2.562403,-15.972613
27.914735,-2.576839,-15.978721
27.884603,-2.579771,-15.970046
27.894649,-2.591108,-15.972040
27.895578,-2.607114,-15.969093
27.903303,-2.613937,-15.934455
27.937758,-2.631371,-15.960444
27.927559,-2.620319,-15.963928
27.928574,-2.662702,-15.939258
27.911751,-2.667890,-15.932461
27.912507,-2.685795,-15.934541
27.929907,-2.690573,-15.945034
27.928837,-2.725110,-15.923962
27.917238,-2.718546,-15.940381
27.915617,-2.737684,-15.938146
27.932769,-2.730023,-15.917645
27.924833,-2.751285,-15.922921
27.935837,-2.794356,-15.912166
27.916056,-2.796200,-15.919696
27.945444,-2.798390,-15.902677
27.937660,-2.806066,-15.889137
27.915366,-2.820304,-15.898137
27.935529,-2.842862,-15.891653
27.941324,-2.820614,-15.896670
27.940715,-2.865101,-15.899076
27.941497,-2.874665,-15.882525
27.935220,-2.873664,-15.892692
27.940015,-2.905570,-15.882605
27.939675,-2.904370,-15.883782
27.933805,-2.915038,-15.846627
27.948296,-2.929305,-15.859637
27.939242,-2.942216,-15.861896
27.951225,-2.943783,-15.847965
27.933912,-2.974683,-15.833307
27.928523,-2.969238,-15.861636
27.945456,-2.989776,-15.848213
27.946510,-2.968710,-15.830564
27.937480,-3.017101,-15.819037
27.940374,-3.036857,-15.836279
27.950903,-3.023397,-15.818139
27.940050,-3.038937,-15.841689
27.947990,-3.050521,-15.815345
27.932597,-3.070580,-15.820310
27.939170,-3.065572,-15.805722
27.950426,-3.072709,-15.797243
27.948218,-3.087842,-15.822779
27.943753,-3.118420,-15.810575
27.950212,-3.129015,-15.825107
27.953630,-3.131932,-15.790829
27.930587,-3.167371,-15.800087
27.949150,-3.142920,-15.808876
27.953784,-3.154262,-15.793902
27.957482,-3.183867,-15.792037
27.944958,-3.189656,-15.789671
27.960882,-3.199247,-15.779327
27.962652,-3.202602,-15.776866
27.976382,-3.216394,-15.774371
27.950766,-3.237326,-15.764735
27.960797,-3.231459,-15.755926
27.966292,-3.235230,-15.763479
27.959629,-3.248673,-15.751112
27.989533,-3.270814,-15.768022
27.971114,-3.264377,-15.756769
27.949867,-3.271956,-15.747379
27.956348,-3.280873,-15.740863
27.956463,-3.298493,-15.741771
27.960884,-3.304001,-15.725834
27.961241,-3.328684,-15.742543
27.973537,-3.331912,-15.729304
27.977522,-3.358850,-15.731271
27.981563,-3.357437,-15.729456
27.972932,-3.360667,-15.733115
27.954408,-3.355214,-15.706235
27.970563,-3.371124,-15.721180
27.962849,-3.398917,-15.709863
27.981549,-3.397257,-15.706412
27.994627,-3.397102,-15.699626
27.971972,-3.437663,-15.732384
27.975762,-3.420652,-15.703205
27.969467,-3.432006,-15.700430
27.966261,-3.454302,-15.698563
27.979183,-3.451642,-15.699966
27.969355,-3.466284,-15.687678
27.979808,-3.464495,-15.668187
27.973696,-3.489633,-15.699019
27.963740,-3.507703,-15.684019
27.980378,-3.507671,-15.676403
27.977371,-3.542377,-15.690144
