ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.000000,0.028501,-10.780325
1.000388,0.025640,-10.780425
1.001163,0.023051,-10.780624
0.838881,0.020703,-10.780923
0.735839,0.018553,-10.781268
0.664597,0.016576,-10.781637
0.601027,0.014751,-10.782020
0.544364,0.013058,-10.782405
0.493920,0.011482,-10.782781
0.449076,0.010007,-10.783144
0.409272,0.008621,-10.783488
0.374007,0.007313,-10.783811
0.342826,0.006075,-10.784110
0.315323,0.004897,-10.784384
0.291129,0.003773,-10.784632
0.269913,0.002697,-10.784856
0.251377,0.001664,-10.785055
0.235254,0.000668,-10.785230
0.221300,-0.000295,-10.785382
0.209298,-0.001227,-10.785511
0.199052,-0.002133,-10.785620
0.190384,-0.003014,-10.785709
0.183137,-0.003874,-10.785780
0.177166,-0.004715,-10.785833
0.172342,-0.005538,-10.785869
0.168549,-0.006345,-10.785890
0.165682,-0.007137,-10.785896
0.163647,-0.007916,-10.785889
0.162358,-0.008684,-10.785869
0.161740,-0.009440,-10.785837
0.161723,-0.010187,-10.785795
0.162245,-0.010924,-10.785742
0.163250,-0.011653,-10.785679
0.164688,-0.012373,-10.785607
0.166513,-0.013087,-10.785527
0.168685,-0.013793,-10.785439
0.171167,-0.014493,-10.785343
0.173925,-0.015187,-10.785241
0.176930,-0.015876,-10.785131
0.180155,-0.016559,-10.785016
0.183575,-0.017237,-10.784895
0.187169,-0.017910,-10.784768
0.190918,-0.018579,-10.784637
0.194803,-0.019243,-10.784500
0.198809,-0.019903,-10.784358
0.202921,-0.020559,-10.784213
0.207126,-0.021211,-10.784063
0.211414,-0.021859,-10.783909
0.215773,-0.022504,-10.783751
0.220194,-0.023144,-10.783589
0.224668,-0.023782,-10.783425
0.229188,-0.024416,-10.783256
0.233748,-0.025047,-10.783085
0.238341,-0.025674,-10.782911
0.242961,-0.026298,-10.782733
0.247603,-0.026919,-10.782553
0.252263,-0.027537,-10.782370
0.256938,-0.028152,-10.782185
0.261622,-0.028764,-10.781997
0.266314,-0.029373,-10.781807
0.271010,-0.029979,-10.781614
0.275708,-0.030582,-10.781419
0.280405,-0.031182,-10.781222
0.285099,-0.031780,-10.781023
0.289788,-0.032374,-10.780822
0.294470,-0.032966,-10.780619
0.299145,-0.033555,-10.780413
0.303811,-0.034141,-10.780207
0.308466,-0.034724,-10.779998
0.313109,-0.035305,-10.779787
0.317740,-0.035883,-10.779575
0.322357,-0.036458,-10.779361
0.326960,-0.037030,-10.779146
0.331549,-0.037600,-10.778929
0.336122,-0.038167,-10.778711
0.340678,-0.038732,-10.778491
0.345219,-0.039294,-10.778270
0.349742,-0.039853,-10.778047
0.354249,-0.040410,-10.777823
0.358737,-0.040964,-10.777598
0.363208,-0.041515,-10.777371
0.367661,-0.042064,-10.777143
0.372095,-0.042610,-10.776915
0.376511,-0.043154,-10.776684
0.380909,-0.043695,-10.776453
0.385287,-0.044234,-10.776221
0.389647,-0.044770,-10.775988
0.393988,-0.045304,-10.775753
0.398310,-0.045835,-10.775518
0.402613,-0.046364,-10.775282
0.406897,-0.046890,-10.775045
0.411161,-0.047414,-10.774807
0.415407,-0.047935,-10.774568
0.419633,-0.048454,-10.774328
0.423840,-0.048970,-10.774087
0.428028,-0.049484,-10.773846
0.432197,-0.049996,-10.773604
0.436347,-0.050505,-10.773361
0.440478,-0.051011,-10.773117
0.444590,-0.051516,-10.772873
0.448683,-0.052018,-10.772628
0.452756,-0.052517,-10.772382
0.456812,-0.053014,-10.772136
0.460848,-0.053509,-10.771889
0.464865,-0.054002,-10.771642
0.468864,-0.054492,-10.771394
0.472844,-0.054980,-10.771146
0.476806,-0.055465,-10.770897
0.480749,-0.055948,-10.770648
0.484674,-0.056429,-10.770398
0.488580,-0.056908,-10.770148
0.492469,-0.057384,-10.769897
0.496338,-0.057858,-10.769646
0.500190,-0.058330,-10.769395
0.504024,-0.058799,-10.769143
0.507840,-0.059267,-10.768891
0.511637,-0.059732,-10.768639
