ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.045158,0.286479,0.154376
0.085763,0.572960,0.293233
0.122230,0.859446,0.418047
0.154936,1.145939,0.530153
0.184224,1.413702,0.630761
0.210409,1.653992,0.720967
0.233779,1.869437,0.801764
0.254597,2.062415,0.874051
0.273103,2.235076,0.938641
0.289516,2.389366,0.996271
0.304036,2.527045,1.047607
0.316844,2.649706,1.093253
0.328103,2.758789,1.133754
0.337964,2.855597,1.169606
0.346563,2.941309,1.201255
0.354022,3.016991,1.229106
0.360452,3.083610,1.253526
0.365955,3.142037,1.274845
0.370623,3.193062,1.293363
0.374537,3.237400,1.309353
0.377774,3.275697,1.323058
0.380400,3.308538,1.334701
0.382478,3.336452,1.344483
0.384062,3.359917,1.352585
0.385203,3.379367,1.359172
0.385945,3.395192,1.364393
0.386331,3.407749,1.368382
0.386396,3.417355,1.371260
0.386175,3.424303,1.373137
0.385697,3.428854,1.374114
0.384990,3.431245,1.374279
0.384078,3.431691,1.373715
0.382983,3.430386,1.372494
0.381725,3.427506,1.370684
0.380323,3.423209,1.368345
0.378792,3.417640,1.365531
0.377147,3.410928,1.362291
0.375402,3.403190,1.358669
0.373569,3.394533,1.354707
0.371658,3.385054,1.350439
0.369678,3.374838,1.345900
0.367639,3.363965,1.341119
0.365549,3.352506,1.336122
0.363414,3.340524,1.330935
0.361241,3.328079,1.325578
0.359036,3.315222,1.320072
0.356804,3.302001,1.314434
0.354549,3.288459,1.308682
0.352275,3.274634,1.302829
0.349987,3.260563,1.296888
0.347688,3.246276,1.290872
0.345381,3.231802,1.284791
0.343068,3.217166,1.278655
0.340751,3.202394,1.272473
0.338434,3.187504,1.266253
0.336118,3.172517,1.260001
0.333804,3.157449,1.253725
0.331495,3.142316,1.247429
0.329192,3.127132,1.241120
0.326895,3.111910,1.234802
0.324606,3.096661,1.228479
0.322327,3.081395,1.222156
0.320057,3.066122,1.215834
0.317798,3.050850,1.209518
0.315550,3.035585,1.203211
0.313314,3.020336,1.196914
0.311090,3.005108,1.190631
0.308879,2.989906,1.184362
0.306682,2.974736,1.178111
0.304498,2.959601,1.171877
0.302328,2.944507,1.165664
0.300172,2.929455,1.159472
0.298030,2.914450,1.153302
0.295903,2.899494,1.147155
0.293791,2.884589,1.141033
0.291693,2.869739,1.134936
0.289610,2.854944,1.128864
0.287543,2.840207,1.122819
0.285490,2.825529,1.116801
0.283452,2.810912,1.110809
0.281429,2.796356,1.104846
0.279422,2.781863,1.098911
0.277429,2.767434,1.093004
0.275452,2.753069,1.087126
0.273489,2.738769,1.081277
0.271542,2.724535,1.075456
0.269609,2.710367,1.069665
0.267691,2.696266,1.063904
0.265788,2.682232,1.058171
0.263900,2.668265,1.052468
0.262026,2.654366,1.046795
0.260167,2.640534,1.041151
0.258322,2.626769,1.035537
0.256491,2.613073,1.029952
0.254675,2.599444,1.024397
0.252873,2.585883,1.018871
0.251086,2.572390,1.013374
0.249312,2.558965,1.007907
0.247552,2.545607,1.002469
0.245805,2.532316,0.997060
0.244073,2.519093,0.991681
0.242354,2.505937,0.986330
0.240649,2.492847,0.981008
0.238957,2.479825,0.975715
0.237278,2.466869,0.970451
0.235612,2.453979,0.965215
0.233960,2.441155,0.960008
0.232320,2.428398,0.954829
0.230693,2.415706,0.949678
0.229079,2.403079,0.944555
0.227478,2.390517,0.939460
0.225889,2.378020,0.934393
0.224312,2.365588,0.929354
0.222748,2.353219,0.924342
0.221197,2.340915,0.919357
0.219657,2.328675,0.914400
0.218129,2.316498,0.909470
0.216613,2.304384,0.904567
0.215109,2.292332,0.899691
0.213617,2.280344,0.894841
0.212136,2.268417,0.890018
0.210667,2.256553,0.885221
0.209210,2.244750,0.880451
0.207763,2.233008,0.875707
0.206328,2.221328,0.870988
0.204904,2.209708,0.866296
0.203491,2.198149,0.861629
0.202089,2.186650,0.856988
0.200698,2.175210,0.852372
0.199318,2.163830,0.847782
0.197948,2.152510,0.843217
0.196589,2.141248,0.838677
0.195240,2.130045,0.834161
0.193902,2.118901,0.829671
0.192574,2.107814,0.825205
0.191256,2.096785,0.820763
0.189949,2.085814,0.816346
0.188651,2.074900,0.811953
0.187364,2.064042,0.807584
0.186086,2.053242,0.803239
0.184818,2.042497,0.798918
0.183560,2.031809,0.794620
0.182311,2.021176,0.790346
0.181072,2.010599,0.786096
0.179843,2.000077,0.781868
0.178623,1.989609,0.777664
0.177412,1.979197,0.773483
0.176210,1.968839,0.769325
0.175017,1.958534,0.765189
0.173834,1.948284,0.761076
0.172659,1.938087,0.756986
0.171494,1.927943,0.752918
0.170337,1.917852,0.748872
0.169189,1.907814,0.744848
0.168050,1.897828,0.740847
0.166919,1.887894,0.736867
0.165797,1.878012,0.732909
0.164684,1.868181,0.728973
0.163578,1.858402,0.725058
0.162481,1.848674,0.721164
0.161393,1.838997,0.717292
0.160312,1.829370,0.713441
0.159240,1.819794,0.709611
0.158176,1.810267,0.705802
0.157119,1.800790,0.702014
0.156071,1.791363,0.698246
0.155030,1.781985,0.694499
0.153998,1.772656,0.690773
0.152973,1.763375,0.687066
0.151955,1.754143,0.683380
0.150945,1.744959,0.679715
0.149943,1.735823,0.676069
0.148948,1.726735,0.672443
0.147961,1.717694,0.668837
0.146981,1.708701,0.665250
0.146008,1.699754,0.661683
0.145043,1.690855,0.658136
0.144084,1.682001,0.654607
0.143133,1.673194,0.651098
0.142189,1.664433,0.647609
0.141251,1.655718,0.644138
0.140321,1.647048,0.640686
