accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0.358962,0.518850,-10.782146
0.330302,0.475233,-10.775680
0.288362,0.415650,-10.783446
0.263923,0.376929,-10.771600
0.242396,0.337669,-10.781704
0.225417,0.293917,-10.781851
0.202976,0.273609,-10.775068
0.172864,0.242657,-10.779908
0.163604,0.208752,-10.786810
0.153281,0.187285,-10.778444
0.143073,0.166803,-10.772221
0.137766,0.138834,-10.782036
0.124728,0.100724,-10.779043
0.125749,0.101269,-10.775046
0.110434,0.076150,-10.773206
0.112955,0.056847,-10.774961
0.098580,0.041948,-10.780931
0.101300,0.028862,-10.783945
0.099604,0.017840,-10.786687
0.095723,0.001048,-10.769330
0.101304,-0.009860,-10.775553
0.098656,-0.020540,-10.785127
0.101781,-0.049114,-10.778440
0.101722,-0.056255,-10.776098
0.093410,-0.062543,-10.779019
0.105885,-0.075375,-10.777410
0.103085,-0.098851,-10.777683
0.106634,-0.097367,-10.772044
0.110947,-0.106552,-10.769424
0.109577,-0.110128,-10.778040
0.108531,-0.126704,-10.772902
0.119591,-0.152016,-10.774186
0.121502,-0.158653,-10.770336
0.131235,-0.159345,-10.774640
0.127015,-0.162647,-10.773394
0.126226,-0.173929,-10.787865
0.127405,-0.179104,-10.775287
0.140414,-0.186313,-10.781676
0.139178,-0.204555,-10.774829
0.140352,-0.221253,-10.771118
0.152632,-0.224205,-10.773637
0.148981,-0.229039,-10.765965
0.159999,-0.235092,-10.768177
0.158663,-0.244117,-10.759875
0.158653,-0.251329,-10.769874
0.170388,-0.269403,-10.769232
0.171024,-0.281328,-10.766506
0.182074,-0.286170,-10.765537
0.181230,-0.289830,-10.768619
0.183597,-0.302259,-10.777061
0.194814,-0.303894,-10.762506
0.198241,-0.309362,-10.770348
0.192652,-0.320924,-10.776366
0.200850,-0.322653,-10.768943
0.212001,-0.331751,-10.765793
0.214094,-0.344695,-10.768634
0.214403,-0.350323,-10.767790
0.219171,-0.356106,-10.774776
0.224843,-0.368472,-10.766073
0.226809,-0.376224,-10.770458
0.227286,-0.378867,-10.758518
0.233875,-0.385658,-10.766350
0.236364,-0.384986,-10.764843
0.239337,-0.401922,-10.760283
0.251874,-0.412586,-10.760534
0.242847,-0.424743,-10.753945
0.255310,-0.427029,-10.767769
0.256418,-0.428866,-10.766142
0.268979,-0.447937,-10.764498
0.274233,-0.452437,-10.757670
0.262421,-0.453123,-10.763170
0.281711,-0.471260,-10.755168
0.280402,-0.470750,-10.758399
0.279126,-0.474378,-10.761110
0.284397,-0.485742,-10.760723
0.291411,-0.497327,-10.761848
0.293207,-0.493580,-10.759075
0.297353,-0.504398,-10.761246
0.295891,-0.504705,-10.750706
0.318266,-0.517043,-10.748529
0.312321,-0.523071,-10.752266
0.320073,-0.535012,-10.759081
0.335014,-0.542110,-10.761110
0.326615,-0.541498,-10.751700
0.320331,-0.548357,-10.746930
0.328850,-0.554247,-10.744915
0.330343,-0.561570,-10.748060
0.336481,-0.572288,-10.754573
0.343925,-0.571219,-10.748495
0.345005,-0.576996,-10.751893
0.347518,-0.597992,-10.751169
0.357158,-0.601272,-10.750111
0.354310,-0.598368,-10.744508
0.357358,-0.608794,-10.742425
0.361553,-0.618471,-10.742019
0.369944,-0.616300,-10.754823
0.363500,-0.626892,-10.747330
0.375960,-0.639133,-10.744304
0.377310,-0.643372,-10.734757
0.385337,-0.647416,-10.745990
0.382517,-0.658190,-10.743463
0.382127,-0.658288,-10.738117
0.388786,-0.664661,-10.739952
0.397754,-0.664555,-10.749307
0.396061,-0.681756,-10.740398
0.406904,-0.682266,-10.743522
0.418279,-0.691146,-10.740040
0.401481,-0.695020,-10.732486
0.413048,-0.698747,-10.736356
0.407313,-0.705619,-10.744978
0.418629,-0.716244,-10.735509
0.422384,-0.714729,-10.725218
0.425427,-0.718434,-10.735882
0.431184,-0.725540,-10.725560
0.431204,-0.738818,-10.733886
0.424464,-0.742097,-10.737452
0.433144,-0.740222,-10.730253
0.437384,-0.746166,-10.737094
0.437591,-0.749181,-10.721711
0.444938,-0.757112,-10.730112
0.452382,-0.772601,-10.721906
0.443897,-0.773200,-10.732270
0.441038,-0.777988,-10.726680
0.459922,-0.777561,-10.729807
0.464771,-0.797804,-10.729547
0.466923,-0.783843,-10.734554
0.468614,-0.801977,-10.728587
0.459773,-0.809483,-10.721474
0.475435,-0.813148,-10.725355
0.479053,-0.816090,-10.721015
0.481885,-0.815932,-10.721689
0.484530,-0.831683,-10.715801
0.488479,-0.835757,-10.713750
0.486852,-0.838361,-10.729386
0.498527,-0.852799,-10.714101
0.498358,-0.851922,-10.715397
0.504549,-0.853348,-10.719651
0.497938,-0.858306,-10.714261
0.510211,-0.857352,-10.715117
0.511149,-0.866070,-10.716398
0.511954,-0.854719,-10.713582
0.504607,-0.880656,-10.707521
0.512467,-0.878726,-10.708263
0.521921,-0.898169,-10.711387
0.513444,-0.897520,-10.716300
0.522784,-0.896856,-10.715797
0.524299,-0.898129,-10.710443
0.527266,-0.916095,-10.698997
0.537304,-0.918666,-10.716197
0.538977,-0.921949,-10.712266
0.538180,-0.924828,-10.706835
0.547934,-0.925150,-10.701572
0.551389,-0.933672,-10.700139
0.548549,-0.942370,-10.710232
0.551248,-0.949898,-10.705922
0.537857,-0.951057,-10.708618
0.557772,-0.948807,-10.705273
0.550772,-0.958621,-10.705105
0.554791,-0.958640,-10.707649
0.558192,-0.967591,-10.710700
0.573831,-0.966743,-10.702734
0.571023,-0.975409,-10.698715
0.573367,-0.980917,-10.710713
0.578854,-0.993111,-10.703551
0.575011,-0.986126,-10.703271
0.575686,-0.990672,-10.702250
0.588592,-0.997640,-10.700623
0.578648,-1.007634,-10.699043
0.580514,-1.007902,-10.697470
0.588043,-1.002584,-10.698017
0.586043,-1.021055,-10.701616
0.598803,-1.012319,-10.693916
0.593635,-1.030231,-10.703165
0.606490,-1.022145,-10.689594
0.602621,-1.036158,-10.692783
0.606123,-1.037267,-10.696881
0.610882,-1.049007,-10.680654
0.611437,-1.053497,-10.701081
0.614390,-1.053203,-10.694074
0.614968,-1.048463,-10.681916
0.616896,-1.056884,-10.696488
0.619570,-1.064122,-10.682194
0.617022,-1.066048,-10.689708
0.618293,-1.071563,-10.687348
0.633552,-1.067854,-10.690263
0.629697,-1.082711,-10.683971
0.644778,-1.086208,-10.686303
0.639193,-1.087999,-10.681115
0.638413,-1.098497,-10.683639
0.637269,-1.093612,-10.689419
0.641312,-1.094805,-10.685147
0.639092,-1.103340,-10.684881
0.646005,-1.112445,-10.677841
0.656552,-1.112361,-10.142865
0.643825,-1.118248,-9.676950
0.651843,-1.126635,-9.678004
0.649041,-1.138301,-9.680059
0.648359,-1.126654,-9.676887
0.667827,-1.134763,-9.680278
0.659494,-1.134745,-9.675729
0.661193,-1.138431,-9.675634
0.665435,-1.146936,-9.671916
0.662953,-1.157062,-9.677405
0.671737,-1.157275,-9.674627
0.670553,-1.151688,-9.674179
0.655802,-1.156254,-9.662832
0.672570,-1.172743,-9.672718
0.678309,-1.172977,-9.673928
0.672400,-1.170539,-9.675050
0.686026,-1.180369,-9.668601
0.685692,-1.183211,-9.667302
0.691772,-1.193042,-9.664961
0.696144,-1.201849,-9.664253
0.691873,-1.199037,-9.663374
0.686650,-1.193766,-9.668598
0.698375,-1.203847,-9.656109
0.696523,-1.205094,-9.665321
0.714109,-1.218579,-9.673641
0.695981,-1.219584,-9.662472
0.701335,-1.217051,-9.668044
0.705875,-1.226525,-9.673971
