ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.000000,0.000000,0.000000
0.009999,0.007949,-0.010000
0.019995,0.015107,-0.020001
0.029985,0.021557,-0.030003
0.039967,0.027371,-0.040007
0.049940,0.032617,-0.050015
0.059902,0.037355,-0.060027
0.069852,0.041636,-0.070047
0.079788,0.045511,-0.080073
0.089710,0.049022,-0.090109
0.099617,0.052207,-0.100154
0.105037,0.055092,-0.110195
0.109740,0.057712,-0.120240
0.113943,0.060095,-0.130289
0.117696,0.062268,-0.140341
0.121042,0.064251,-0.150396
0.124020,0.066064,-0.160454
0.126665,0.067726,-0.170515
0.129009,0.069253,-0.180577
0.131080,0.070659,-0.190642
0.132904,0.071957,-0.200707
0.134504,0.073159,-0.210774
0.135901,0.074275,-0.220842
0.137114,0.075315,-0.230910
0.138159,0.076287,-0.240979
0.139053,0.077198,-0.251048
0.139808,0.078057,-0.261117
0.140438,0.078868,-0.271186
0.140952,0.079638,-0.281255
0.141363,0.080370,-0.291323
0.141677,0.081071,-0.301391
0.141905,0.081743,-0.311459
0.142052,0.082391,-0.321526
0.142126,0.083017,-0.331592
0.142133,0.083625,-0.341657
0.142078,0.084216,-0.351722
0.141966,0.084794,-0.361786
0.141801,0.085361,-0.371849
0.141588,0.085918,-0.381911
0.141329,0.086466,-0.391972
0.141029,0.087009,-0.402032
0.140690,0.087546,-0.412090
0.140315,0.088079,-0.422148
0.139906,0.088610,-0.432205
0.139465,0.089138,-0.442260
0.138995,0.089665,-0.452314
0.138496,0.090193,-0.462367
0.137971,0.090720,-0.472419
0.137422,0.091249,-0.482470
0.136849,0.091779,-0.492519
0.136253,0.092311,-0.502568
0.135637,0.092845,-0.512615
0.134999,0.093382,-0.522660
0.134343,0.093923,-0.532705
0.133668,0.094467,-0.542748
0.132975,0.095014,-0.552790
0.132265,0.095565,-0.562830
0.131539,0.096121,-0.572869
0.130796,0.096681,-0.582907
0.130038,0.097245,-0.592944
0.129265,0.097814,-0.602979
0.128478,0.098387,-0.613013
0.127676,0.098965,-0.623046
0.126861,0.099548,-0.633077
0.126032,0.100135,-0.643107
0.125191,0.100728,-0.653136
0.124336,0.101326,-0.663163
0.123469,0.101928,-0.673189
0.122589,0.102536,-0.683213
0.121698,0.103148,-0.693237
0.120795,0.103766,-0.703258
0.119880,0.104388,-0.713279
0.118953,0.105016,-0.723298
0.118016,0.105648,-0.733316
0.117067,0.106286,-0.743332
0.116107,0.106928,-0.753347
0.115137,0.107576,-0.763361
0.114156,0.108228,-0.773373
0.113165,0.108885,-0.783384
0.112163,0.109547,-0.793393
0.111151,0.110214,-0.803401
0.110129,0.110886,-0.813408
0.109097,0.111562,-0.823413
0.108055,0.112244,-0.833417
0.107003,0.112929,-0.843420
0.105942,0.113620,-0.853421
0.104871,0.114315,-0.863421
0.103791,0.115014,-0.873419
0.102701,0.115718,-0.883416
0.101602,0.116427,-0.893412
0.100494,0.117140,-0.903406
0.099377,0.117857,-0.913399
0.098251,0.118579,-0.923391
0.097116,0.119305,-0.933381
0.095972,0.120035,-0.943370
0.094820,0.120769,-0.953357
0.093659,0.121508,-0.963343
0.092489,0.122251,-0.973328
0.091311,0.122997,-0.983311
0.090124,0.123748,-0.993293
0.088929,0.124503,-1.003273
0.087726,0.125262,-1.013253
0.086514,0.126025,-1.023230
0.085295,0.126791,-1.033207
0.084067,0.127561,-1.043182
0.082831,0.128336,-1.053156
0.081588,0.129113,-1.063128
0.080337,0.129895,-1.073099
0.079077,0.130680,-1.083068
0.077811,0.131469,-1.093037
0.076536,0.132262,-1.103004
0.075254,0.133058,-1.112969
0.073965,0.133857,-1.122933
0.072668,0.134660,-1.132896
0.071364,0.135466,-1.142858
0.070052,0.136276,-1.152818
0.068733,0.137089,-1.162777
0.067407,0.137906,-1.172735
0.066074,0.138725,-1.182691
0.064734,0.139548,-1.192646
0.063387,0.140374,-1.202599
0.062033,0.141203,-1.212552
0.060673,0.142036,-1.222503
0.059305,0.142871,-1.232452
0.057931,0.143710,-1.242401
0.056549,0.144551,-1.252348
0.055162,0.145396,-1.262294
0.053768,0.146243,-1.272238
0.052367,0.147093,-1.282182
0.050960,0.147947,-1.292124
0.049546,0.148803,-1.302064
0.048126,0.149662,-1.312004
0.046700,0.150523,-1.321942
0.045268,0.151388,-1.331879
0.043830,0.152255,-1.341814
0.042385,0.153124,-1.351749
0.040934,0.153997,-1.361682
0.039478,0.154872,-1.371614
0.038015,0.155750,-1.381545
0.036547,0.156630,-1.391474
0.035073,0.157513,-1.401402
0.033593,0.158398,-1.411329
0.032107,0.159286,-1.421255
0.030616,0.160176,-1.431180
0.029119,0.161068,-1.441103
0.027616,0.161963,-1.451025
0.026108,0.162860,-1.460946
0.024595,0.163760,-1.470866
0.023076,0.164662,-1.480784
0.021551,0.165566,-1.490702
0.020022,0.166472,-1.500618
0.018487,0.167381,-1.510533
0.016947,0.168292,-1.520447
0.015402,0.169205,-1.530360
0.013852,0.170120,-1.540271
0.012296,0.171037,-1.550182
0.010736,0.171957,-1.560091
0.009170,0.172878,-1.569999
0.007600,0.173801,-1.579906
0.006025,0.174727,-1.589812
0.004445,0.175654,-1.599717
0.002860,0.176583,-1.609621
0.001271,0.177515,-1.619523
-0.000323,0.178448,-1.629425
-0.001922,0.179383,-1.639325
-0.003525,0.180320,-1.649224
-0.005133,0.181259,-1.659123
-0.006746,0.182199,-1.669020
-0.008363,0.183142,-1.678916
-0.009984,0.184086,-1.688811
-0.011610,0.185032,-1.698705
-0.013240,0.185979,-1.708597
-0.014874,0.186929,-1.718489
-0.016513,0.187880,-1.728380
-0.018155,0.188832,-1.738270
-0.019802,0.189787,-1.748158
-0.021453,0.190743,-1.758046
-0.023108,0.191700,-1.767933
-0.024768,0.192659,-1.777818
